family,seed,draws,status,ess,maxWeight,k,mean,error,rawMcse,issues
gamma,1009,2000,Danger,2.9365313655578706,0.5085676172812056,16.743425528227068,2.0219623071175756,-0.08590766605206035,0.04670234843531394,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
gamma,8928,2000,Danger,4.499674178235183,0.4007327909485819,14.368090079116477,1.9587401513385063,-0.14912982183112966,0.07216706015997922,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,16847,2000,Danger,5.386116920318884,0.25460387429358916,14.656247636327109,2.0539601882781144,-0.05390978489152154,0.038937807098346607,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,24766,2000,Danger,4.508775945281587,0.29573557233148196,14.47684653169618,2.1211370232049642,0.013267050035328243,0.06951946906898394,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,32685,2000,Danger,3.7007331847513445,0.36522841441355264,14.760104277688205,1.9623320496691377,-0.14553792350049832,0.03144268721435136,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,40604,2000,Danger,3.5264213676345024,0.469337592703661,14.803081696157118,2.0398078823133146,-0.06806209085632142,0.03843651146606715,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,48523,2000,Danger,5.072215234547701,0.3772271219632646,16.15481735924607,2.1930832659186184,0.08521329274898237,0.04977141436964437,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,56442,2000,Danger,3.433187420727978,0.4369557403700768,17.30339194444576,2.1887151171817845,0.08084514401214848,0.08181721150895388,DominantWeight|LowEss|LowEfficiency|ParetoDanger
gamma,64361,2000,Danger,1.8666720017061522,0.7246284251229137,13.414467228784,2.2274828524466965,0.11961287927706055,0.06938107297251818,WeightCollapse|LowEss|LowEfficiency|ParetoDanger
gamma,72280,2000,Danger,4.458056245119202,0.3382395953056028,10.560471054884758,2.062255962539763,-0.045614010629873025,0.0557079694347577,DominantWeight|LowEss|LowEfficiency|ParetoDanger
