case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
common,95020,prior,Completed,0.5,0.4963333333333339,0,12000,0,0.0028357
common,95020,single,Fitted,0.5,0.4962085575672668,1000,11000,0,0.0048413
common,95020,weighted,Fitted,0.5,0.5043451530122881,1000,11000,35928,0.0144212
common,95020,supplied,Completed,0.5,0.4960000000000007,0,12000,0,0.004628
common,95021,single,Fitted,0.5,0.5023085828254271,1000,11000,0,0.0047779
common,95021,weighted,Fitted,0.5,0.4991480111964776,1000,11000,24900,0.0107202
common,95021,supplied,Completed,0.5,0.4967500000000002,0,12000,0,0.0043752
common,95021,prior,Completed,0.5,0.49800000000000005,0,12000,0,0.0034002
common,95022,weighted,MixtureFitFailure,0.5,NaN,1000,0,12558,0.0028942
common,95022,supplied,Completed,0.5,0.4975833333333334,0,12000,0,0.0046414
common,95022,prior,Completed,0.5,0.49325000000000047,0,12000,0,0.0030076
common,95022,single,Fitted,0.5,0.4992199404500897,1000,11000,0,0.0046597
common,95023,supplied,Completed,0.5,0.4977500000000007,0,12000,0,0.0043702
common,95023,prior,Completed,0.5,0.5019166666666667,0,12000,0,0.0032086
common,95023,single,Fitted,0.5,0.5017632283647505,1000,11000,0,0.0045246
common,95023,weighted,MixtureFitFailure,0.5,NaN,1000,0,19266,0.0042549
common,95024,prior,Completed,0.5,0.49983333333333324,0,12000,0,0.003027
common,95024,single,Fitted,0.5,0.4993202751701158,1000,11000,0,0.0046598
common,95024,weighted,Fitted,0.5,0.49778024269807236,1000,11000,31080,0.0112653
common,95024,supplied,Completed,0.5,0.4995000000000007,0,12000,0,0.0068241
common,95025,single,Fitted,0.5,0.49809197183515685,1000,11000,0,0.0049081
common,95025,weighted,Fitted,0.5,0.501343876079763,1000,11000,25488,0.0106166
common,95025,supplied,Completed,0.5,0.5000833333333331,0,12000,0,0.0043978
common,95025,prior,Completed,0.5,0.5067500000000004,0,12000,0,0.0029461
common,95026,weighted,Fitted,0.5,0.5061901402975274,1000,11000,41410,0.0127594
common,95026,supplied,Completed,0.5,0.5049166666666671,0,12000,0,0.0043247
