jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
2,hierarchical,mh,94824,257802099,Completed,0.9828229288970405,NaN,1.003376268718041,94824,1000,0,0.0,0.0,0.19261830000000002,0.9803921568627451
2,hierarchical,legacy,87804,257802099,Completed,0.9802861819308711,NaN,NaN,87804,0,0,0.0,0.0,0.1519614,0.9803921568627451
2,hierarchical,prior,69696,257802099,Completed,0.9810490886301066,6018.557172251711,NaN,69696,0,627264,0.0,0.0,0.1389533,0.9803921568627451
2,hierarchical,single,61512,257802099,Fitted,0.9809862800454575,31825.027797845574,1.131548106601595,61512,3000,615120,0.0049363,1.377E-4,0.151152,0.9803921568627451
2,hierarchical,mixture,41528,257802099,Fitted,0.9801945519760783,19083.08196955806,1.1389839742691577,41528,3000,373752,0.0055461,0.0397406,0.15291580000000002,0.9803921568627451
2,mixture,mh,42832,257802099,Completed,0.6332181546507285,NaN,1.0005307212849268,42832,1000,0,0.0,0.0,0.08581530000000001,0.631578947368421
2,mixture,legacy,102232,257802099,Completed,0.6351310512269644,NaN,NaN,102232,0,0,0.0,0.0,0.07925360000000001,0.631578947368421
2,mixture,prior,47620,257802099,Completed,0.6372795141361539,31326.942985126985,NaN,47620,0,238100,0.0,0.0,0.07334260000000001,0.631578947368421
2,mixture,single,35864,257802099,Fitted,0.6247374848034061,6150.9893218705965,1.0083860142592935,35864,3000,179320,0.0051563,1.561E-4,0.072757,0.631578947368421
2,mixture,mixture,29192,257802099,Fitted,0.6304537413434295,27563.82551334136,1.0020803813693102,29192,3000,204344,0.0050924,0.0036094,0.07481360000000001,0.631578947368421
2,mixture,mh,86692,257802099,Completed,0.6297351543395008,NaN,1.0001606873346987,86692,1000,0,0.0,0.0,0.1791973,0.631578947368421
2,mixture,legacy,204768,257802099,Completed,0.6340034015697601,NaN,NaN,204768,0,0,0.0,0.0,0.15873900000000002,0.631578947368421
2,mixture,prior,95408,257802099,Completed,0.635650156581806,62723.11891701009,NaN,95408,0,477040,0.0,0.0,0.14616790000000002,0.631578947368421
2,mixture,single,74768,257802099,Fitted,0.629957678159816,12971.836472622694,1.0083860142592935,74768,3000,373840,0.005382700000000001,1.3000000000000002E-4,0.1469511,0.631578947368421
2,mixture,mixture,62548,257802099,Fitted,0.6312056365858183,59048.110926562236,1.0020803813693102,62548,3000,437836,0.0049735000000000005,0.004044900000000001,0.15124100000000001,0.631578947368421
2,concentrated,legacy,58112,273287962,Completed,2.9639873227334035,NaN,NaN,58112,0,0,0.0,0.0,0.08900190000000001,2.9702970297029703
2,concentrated,prior,44100,273287962,Completed,2.9558361415092005,74.27541898352526,NaN,44100,0,264600,0.0,0.0,0.073175,2.9702970297029703
2,concentrated,single,35104,273287962,Fitted,2.9701792522607615,12016.97194349715,3.4847245148479296,35104,3000,175520,0.005205100000000001,1.359E-4,0.0724277,2.9702970297029703
2,concentrated,mixture,23168,273287962,Fitted,2.9727302154217514,2158.89587029664,8.008972014298514,23168,3000,115840,0.0048265,0.008237300000000001,0.0642736,2.9702970297029703
2,concentrated,mh,45744,273287962,Completed,2.939457592932488,NaN,1.1534610897266568,45744,1000,0,0.0,0.0,0.0885687,2.9702970297029703
2,concentrated,legacy,116584,273287962,Completed,2.9708432199272443,NaN,NaN,116584,0,0,0.0,0.0,0.16845860000000001,2.9702970297029703
2,concentrated,prior,88416,273287962,Completed,2.9695228551223716,144.1442123891548,NaN,88416,0,442080,0.0,0.0,0.14534350000000001,2.9702970297029703
2,concentrated,single,73080,273287962,Fitted,2.9703004003999434,25151.065601276427,3.4847245148479296,73080,3000,438480,0.0050079,1.363E-4,0.1450533,2.9702970297029703
2,concentrated,mixture,63196,273287962,Fitted,2.972827195568898,5762.828481422171,8.008972014298514,63196,3000,379176,0.0051896,0.0086415,0.1524542,2.9702970297029703
2,concentrated,mh,92732,273287962,Completed,2.9684664287093327,NaN,1.0792876013402959,92732,1000,0,0.0,0.0,0.1886045,2.9702970297029703
2,hierarchical,legacy,43792,273287962,Completed,0.9775250869215312,NaN,NaN,43792,0,0,0.0,0.0,0.0839711,0.9803921568627451
