"vectorPerformance","fixture","method","workers","round","seed","draws","warmUp","status","wallSeconds","constructionSeconds","samplingSeconds","diagnosticsSeconds","cpuSeconds","gcSeconds","evaluations","alignedDraws","minMeanEss","minBulkEss","minTailEss","maxRHat","maxMeanError","warningCoordinates","fingerprint","error"
"vectorPerformance","gaussian32","GPSS","2","1","427932","4000","500","Complete","0.286813","3.34E-5","0.0639422","0.2228374","0.5625","0.003","138788","4000","15028.158264845573","15037.33690560915","9075.6220980371","1.0011653829278853","0.016607695975976222","0","3d0bccbf5e695e5e8a5d89fa29a1a353b231a8693474ffa5e1944f58eee51881",""
"vectorPerformance","gaussian32","GPSS","2","2","435851","4000","500","Complete","0.287779","3.7E-5","0.0674334","0.2203086","0.546875","0.004","138703","4000","14933.892470949851","14950.607747787408","8635.192267898514","1.001735370997425","0.021490044822388643","0","603bdfe20f551e62d9c5fbc68e896eb978d3c40134ec7e7cbc17b062760b5957",""
"vectorPerformance","gaussian32","GPSS","2","3","443770","4000","500","Complete","0.2870759","3.64E-5","0.064086","0.2229535","0.640625","0.003","138777","4000","15223.671841621832","15221.605805391002","9210.378340418303","1.0015395267295784","0.016172276604625724","0","2ead94f9fc645301334f7309cfcc4f5b6e54cfdca48deed2f7e56fe38456b29a",""
"vectorPerformance","gaussian32","GPSS","2","4","451689","4000","500","Complete","0.2886633","3.61E-5","0.0691762","0.219451","0.578125","0.006","138750","4000","14345.553258947568","14342.778169951296","8945.28266108745","1.0011866456042022","0.01864774016529802","0","d4278b864a0c0454d1730a6de2433aebfa0ebf5de90d82ef8563be3b95ce2d1a",""
"vectorPerformance","gaussian32","GPSS","4","-2","404175","4000","500","Complete","0.2091779","4.43E-5","0.0640125","0.1451211","1.078125","0.006","139155","4000","14560.87743232489","14566.888663880416","9030.296419517286","1.0011086994050007","0.013020088729037094","0","f3ae7e88a3469d95a481057ff78725be41612c1e7bdf2f3d1a7c73f5a42981cf",""
"vectorPerformance","gaussian32","GPSS","4","-1","412094","4000","500","Complete","0.2106165","6.31E-5","0.0641339","0.1464195","0.8125","0.005","138730","4000","14723.327722756223","14738.615855733822","8857.898575485036","1.0012097458367082","0.014860253936955947","0","6d85793e19e5639b0a7430ab942ac98e6519fa4be0fbcee8a8930a2af289299d",""
"vectorPerformance","gaussian32","GPSS","4","0","420013","4000","500","Complete","0.2091985","3.83E-5","0.0621555","0.1470047","0.890625","0.006","138723","4000","14789.309502344258","14770.299991933614","8878.031772176253","1.0012114173589253","0.02042856356087519","0","fb030bc811389f4cc0c40b053f280c25c0c5e58babb6d5eb761947efb8511783",""
"vectorPerformance","gaussian32","GPSS","4","1","427932","4000","500","Complete","0.2093016","3.43E-5","0.061462","0.1478053","0.859375","0.005","138788","4000","15028.158264845573","15037.33690560915","9075.6220980371","1.0011653829278853","0.016607695975976222","0","3d0bccbf5e695e5e8a5d89fa29a1a353b231a8693474ffa5e1944f58eee51881",""
"vectorPerformance","gaussian32","GPSS","4","2","435851","4000","500","Complete","0.2033031","3.94E-5","0.0615319","0.1417318","0.796875","0.005","138703","4000","14933.892470949851","14950.607747787408","8635.192267898514","1.001735370997425","0.021490044822388643","0","603bdfe20f551e62d9c5fbc68e896eb978d3c40134ec7e7cbc17b062760b5957",""
"vectorPerformance","gaussian32","GPSS","4","3","443770","4000","500","Complete","0.2089099","3.87E-5","0.0621162","0.146755","1.109375","0.005","138777","4000","15223.671841621832","15221.605805391002","9210.378340418303","1.0015395267295784","0.016172276604625724","0","2ead94f9fc645301334f7309cfcc4f5b6e54cfdca48deed2f7e56fe38456b29a",""
"vectorPerformance","gaussian32","GPSS","4","4","451689","4000","500","Complete","0.2060012","7.36E-5","0.0612082","0.1447194","0.8125","0.004","138750","4000","14345.553258947568","14342.778169951296","8945.28266108745","1.0011866456042022","0.01864774016529802","0","d4278b864a0c0454d1730a6de2433aebfa0ebf5de90d82ef8563be3b95ce2d1a",""
"vectorPerformance","gaussian32","Quantile","1","-2","404175","4000","500","Complete","0.8109757","5.06E-5","0.4013731","0.409552","1.1875","0.015","1753214","4000","15219.008327321226","15213.744919585897","12194.607218487616","1.0007110848254097","0.01623649007724448","0","cecc6b4fda00565adaade6079bd9a81eec1cb5425a7364f3a4652f8f1fe688e7",""
"vectorPerformance","gaussian32","Quantile","1","-1","412094","4000","500","Complete","0.811606","2.53E-5","0.4046459","0.4069348","0.84375","0.012","1754500","4000","14374.340793710559","14390.679914776822","12593.727427588436","1.0005481375625007","0.020322296447435884","0","710b12b4b32c1d00e33cda313ee3aca4afb06968f65bf5b1d672fd6109f4f43f",""
"vectorPerformance","gaussian32","Quantile","1","0","420013","4000","500","Complete","0.7997576","2.45E-5","0.3943461","0.405387","0.796875","0.014","1751135","4000","14804.415700401843","14796.384417892554","11674.348877600554","1.0004842070731996","0.017149474216242355","0","7163a65543816d08a23c844d2762c1967e2f734b4748129ec7bdf89e140df8b4",""
"vectorPerformance","gaussian32","Quantile","1","1","427932","4000","500","Complete","0.8023608","2.49E-5","0.3996744","0.4026615","1.390625","0.011","1751119","4000","15119.429112419593","15129.482098788952","12424.352542458728","1.000588248721186","0.024238503591598903","0","e468486f9c3bce272356b47328af805b6315b0ce0dcec0ba389ad1cc6e773090",""
"vectorPerformance","gaussian32","Quantile","1","2","435851","4000","500","Complete","0.7993562","2.41E-5","0.3973366","0.4019955","0.828125","0.014","1754043","4000","14654.09636813213","14648.796726473445","11630.775114295944","1.0006045524861327","0.019982935899345466","0","f17849dd0d6937ddb28ce5136301623e9a5b8e9dd4ad54fb96a198cfdc5f0c6a",""
"vectorPerformance","gaussian32","Quantile","1","3","443770","4000","500","Complete","0.8158744","2.54E-5","0.4124232","0.4034258","1.078125","0.014","1754067","4000","14670.955292689816","14672.094230083088","12113.52110906072","1.0003997605716526","0.012117200485737945","0","8d191d73493e7fb3ede8cea18ccac7e017f7700706ef9c9f8b699e07b2804d14",""
"vectorPerformance","gaussian32","Quantile","1","4","451689","4000","500","Complete","0.800934","2.52E-5","0.3981344","0.4027744","1.1875","0.012","1751661","4000","14424.859583462046","14417.997752939862","12128.296452895833","1.0007982696988702","0.02835365482901797","0","b8ea3b62393883b214271958061a644368686dc583e5f2e33e5eafdc7a65f17e",""
"vectorPerformance","gaussian32","Quantile","2","-2","404175","4000","500","Complete","0.5566742","1.247E-4","0.3326476","0.2239019","1.765625","0.014","1753214","4000","15219.008327321226","15213.744919585897","12194.607218487616","1.0007110848254097","0.01623649007724448","0","cecc6b4fda00565adaade6079bd9a81eec1cb5425a7364f3a4652f8f1fe688e7",""
