"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","diagnostics","org.apache.commons.math3.random.Well19937c","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:184","1","4313104"
"vectorProfile","allocation","diagnostics","scala.collection.IterableOnceOps$$Lambda$4799","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","15","162297520"
"vectorProfile","allocation","diagnostics","scala.collection.Iterator$$anon$20","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:73","1","2094528"
"vectorProfile","allocation","diagnostics","scala.collection.immutable.ArraySeq$ofRef","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:114","3","16810000"
"vectorProfile","allocation","diagnostics","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:39","4","23363544"
"vectorProfile","allocation","diagnostics","scala.collection.immutable.NewVectorIterator","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:64","1","929088"
"vectorProfile","allocation","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$11:181","4","29949584"
"vectorProfile","allocation","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$2:40","2","15783904"
"vectorProfile","allocation","diagnostics","scala.collection.mutable.ArraySeq$ofDouble","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:274","8","112473120"
"vectorProfile","allocation","other","[B","java.lang.StringLatin1.toLowerCase:453","25","1034584"
"vectorProfile","allocation","other","[B","java.util.Arrays.copyOf:3537","3","23489392"
"vectorProfile","allocation","other","[B","java.util.zip.InflaterInputStream.<init>:88","3","1918536"
"vectorProfile","allocation","other","[C","sun.nio.fs.WindowsWatchService$Poller.processEvents:563","1","44440"
"vectorProfile","allocation","other","[I","scala.collection.immutable.Node.removeElement:68","1","33920"
"vectorProfile","allocation","other","[Ljava.lang.Object;","java.lang.Throwable.fillInStackTrace:-1","1","175072"
"vectorProfile","allocation","other","[Ljava.lang.Object;","javax.management.openmbean.CompositeDataSupport.getAll:291","1","24912"
"vectorProfile","allocation","other","[Ljava.lang.Object;","scala.collection.immutable.Vector3.map:2248","14","42818440"
"vectorProfile","allocation","other","[Ljava.lang.Object;","scala.collection.immutable.VectorStatics$.mapElems:2248","5","21782912"
"vectorProfile","allocation","other","[Ljava.lang.Object;","scala.collection.immutable.VectorStatics$.mapElemsRest:2248","9","38741896"
"vectorProfile","allocation","other","[Ljava.lang.Object;","sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData:550","1","4144"
"vectorProfile","allocation","other","[Ljava.lang.Object;","sun.management.MemoryUsageCompositeData.getCompositeData:59","9","277408"
"vectorProfile","allocation","other","[Ljava.security.ProtectionDomain;","java.security.AccessControlContext.combine:716","2","11006616"
"vectorProfile","allocation","other","[Ljava.util.HashMap$Node;","java.util.HashMap.resize:702","3","151336"
"vectorProfile","allocation","other","[Ljava.util.concurrent.LinkedBlockingQueue$Node;","java.util.concurrent.LinkedBlockingQueue.bulkRemove:1071","3","77272"
