"jvm","diagnosticHotspot","shape","values","round","stage","iterations","seconds","allocatedBytes","fingerprint"
"0","row","continuous","1024","1","radixRank","62","0.0033325","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","1","mergeRank","62","0.0031367","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","1","scoresAndScatter","62","0.0022488","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","1","radixSort","62","9.75E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","2","scoresAndScatter","62","0.0023287","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","2","mergeRank","62","0.0032301","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","2","radixRank","62","0.003308001","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","2","summary","62","0.0244112","43528608","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","2","mergeSort","62","9.89401E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","2","radixSort","62","0.001013901","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","3","scoresAndScatter","62","0.002241401","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","3","radixSort","62","9.772E-4","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","3","mergeSort","62","7.323E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","3","summary","62","0.0232866","43528504","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","3","radixRank","62","0.0032639","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","3","mergeRank","62","0.0032277","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","4","radixRank","62","0.0032454","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","4","summary","62","0.023456","43528504","e4df3ab23d312810863d44b0731fdd76652813ec439a99fe147d7da66943e9a9"
"0","row","continuous","1024","4","mergeSort","62","8.961E-4","509928","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","4","radixSort","62","0.001013701","574408","db298298639ee49e51824f54177506ff18f364d667d37940279072121d5643c9"
"0","row","continuous","1024","4","scoresAndScatter","62","0.0022162","2485992","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","4","mergeRank","62","0.003118","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","5","radixRank","62","0.0033192","3574712","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
"0","row","continuous","1024","5","mergeRank","62","0.003153001","3510232","188c4ddee9ff730aca6aff6c5587cfb8740d489c606ff6cdf4b1533da7448318"
