workload,workers,chains,drawsPerChain,round,wallMs,cpuMs,sumChainMs,meanEss,meanEssPerSecond,rHat,absoluteError
normal,1,4,20000,0,155.43589999999998,187.5,43.4137,79569.44907259848,511911.65665459837,0.9999823525521967,0.00480436796277417
normal,2,4,20000,0,135.8558,140.625,48.8154,79569.44907259848,585690.4826485029,0.9999823525521967,0.00480436796277417
normal,4,4,20000,0,130.2189,250.0,70.06750000000001,79569.44907259848,611043.7814526039,0.9999823525521967,0.00480436796277417
normal,4,4,20000,1,124.926,171.875,74.42559999999999,79592.10991837033,637114.0508650749,0.9999851252928237,0.0017975893955333166
normal,2,4,20000,1,133.1457,484.375,53.447799999999994,79592.10991837033,597782.053182118,0.9999851252928237,0.0017975893955333166
normal,1,4,20000,1,151.90529999999998,453.125,43.2721,79592.10991837033,523958.74217930733,0.9999851252928237,0.0017975893955333166
normal,1,4,20000,2,154.0855,156.25,43.3362,79657.01664117635,516966.3377876332,0.999976648540214,0.0021440220317743286
normal,2,4,20000,2,134.9411,156.25,48.0494,79657.01664117635,590309.5249792417,0.999976648540214,0.0021440220317743286
normal,4,4,20000,2,127.7934,187.5,73.47989999999999,79657.01664117635,623326.5304873049,0.999976648540214,0.0021440220317743286
normal,4,4,20000,3,130.1338,187.5,86.2491,78788.22021282703,605440.0948318349,1.0000010318110322,3.4367906408178106E-4
normal,2,4,20000,3,134.68959999999998,171.875,48.7566,78788.22021282703,584961.4239913626,1.0000010318110322,3.4367906408178106E-4
normal,1,4,20000,3,156.5714,156.25,43.0854,78788.22021282703,503209.5274924222,1.0000010318110322,3.4367906408178106E-4
normal,1,4,20000,4,155.06980000000001,156.25,44.12349999999999,78102.40092079573,503659.6482409581,1.0000091913571938,0.0035686052877306196
normal,2,4,20000,4,136.31570000000002,156.25,58.6647,78102.40092079573,572952.3519359526,1.0000091913571938,0.0035686052877306196
normal,4,4,20000,4,127.1506,187.5,75.5962,78102.40092079573,614251.1393638388,1.0000091913571938,0.0035686052877306196
likelihood,1,4,20000,0,183.8933,203.125,78.09530000000001,37557.382931540444,204234.645479419,1.0000558549722989,0.002635062466331939
likelihood,2,4,20000,0,143.401,171.875,81.2026,37557.382931540444,261904.6096717627,1.0000558549722989,0.002635062466331939
likelihood,4,4,20000,0,129.7999,218.75,112.1035,37557.382931540444,289348.31946357776,1.0000558549722989,0.002635062466331939
likelihood,4,4,20000,1,129.8599,234.375,109.88139999999999,39487.51977113942,304077.8544503686,1.0000999454689872,0.0027888953408672368
likelihood,2,4,20000,1,144.2158,171.875,85.0124,39487.51977113942,273808.55475710303,1.0000999454689872,0.0027888953408672368
likelihood,1,4,20000,1,180.77450000000002,171.875,77.15339999999999,39487.51977113942,218435.23157934012,1.0000999454689872,0.0027888953408672368
likelihood,1,4,20000,2,183.36520000000002,187.5,77.16959999999999,38609.640879591156,210561.44175443953,1.0000254670195678,1.465357857773908E-4
likelihood,2,4,20000,2,143.18910000000002,187.5,78.70089999999999,38609.640879591156,269640.9215477376,1.0000254670195678,1.465357857773908E-4
likelihood,4,4,20000,2,128.4227,250.0,98.0389,38609.640879591156,300644.986280394,1.0000254670195678,1.465357857773908E-4
