case,seed,method,status,truth,estimate,pilotCalls,productionCalls,componentCalls,seconds
one_tail,95000,supplied,Completed,0.0013498980316300946,0.001375101601052716,0,12000,0,0.0052509
one_tail,95001,single,Fitted,0.0013498980316300946,0.001322642443791429,3000,9000,0,0.0058822
one_tail,95001,weighted,Fitted,0.0013498980316300946,0.0013218536006563341,3000,9000,8968,0.0089987
one_tail,95001,supplied,Completed,0.0013498980316300946,0.001312746474565716,0,12000,0,0.0055523
one_tail,95001,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0054095
one_tail,95002,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,7.219E-4
one_tail,95002,supplied,Completed,0.0013498980316300946,0.0013430142376574879,0,12000,0,0.0052276
one_tail,95002,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0039038
one_tail,95002,single,Fitted,0.0013498980316300946,0.0013450402903200415,3000,9000,0,0.0054956
one_tail,95003,supplied,Completed,0.0013498980316300946,0.0013797178493917574,0,12000,0,0.0052381
one_tail,95003,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0036387
one_tail,95003,single,Fitted,0.0013498980316300946,0.0013510263316585016,3000,9000,0,0.0057231
one_tail,95003,weighted,Fitted,0.0013498980316300946,0.0013299294092481288,3000,9000,9400,0.009166
one_tail,95004,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0038592
one_tail,95004,single,Fitted,0.0013498980316300946,0.001367185407126761,3000,9000,0,0.0055016
one_tail,95004,weighted,Fitted,0.0013498980316300946,0.00133684524228003,3000,9000,12530,0.0099392
one_tail,95004,supplied,Completed,0.0013498980316300946,0.0013613466001940677,0,12000,0,0.005533
one_tail,95005,single,Fitted,0.0013498980316300946,0.0013125514419937525,3000,9000,0,0.0054713
one_tail,95005,weighted,Fitted,0.0013498980316300946,0.0013328983692069223,3000,9000,11796,0.009713
one_tail,95005,supplied,Completed,0.0013498980316300946,0.0013163345509946986,0,12000,0,0.0052567
one_tail,95005,prior,Completed,0.0013498980316300946,0.0012500000000000013,0,12000,0,0.0033693
one_tail,95006,weighted,Fitted,0.0013498980316300946,0.001390506247050595,3000,9000,9672,0.0116741
one_tail,95006,supplied,Completed,0.0013498980316300946,0.0013343046939869525,0,12000,0,0.005514
one_tail,95006,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.003818
one_tail,95006,single,Fitted,0.0013498980316300946,0.0013639071542272665,3000,9000,0,0.0057165
one_tail,95007,supplied,Completed,0.0013498980316300946,0.0013478751068027879,0,12000,0,0.0057655
one_tail,95007,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.003508
one_tail,95007,single,Fitted,0.0013498980316300946,0.0013419256365084522,3000,9000,0,0.0057277
one_tail,95007,weighted,Fitted,0.0013498980316300946,0.001338926409627494,3000,9000,14736,0.0108717
one_tail,95008,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0044746
one_tail,95008,single,Fitted,0.0013498980316300946,0.0013402563603715633,3000,9000,0,0.0058802
one_tail,95008,weighted,Fitted,0.0013498980316300946,0.0013389250985362865,3000,9000,9644,0.0112055
one_tail,95008,supplied,Completed,0.0013498980316300946,0.0013421558867232788,0,12000,0,0.007682
one_tail,95009,single,Fitted,0.0013498980316300946,0.0013551197529775602,3000,9000,0,0.0080573
one_tail,95009,weighted,Fitted,0.0013498980316300946,0.0013626447493072502,3000,9000,10278,0.0098011
one_tail,95009,supplied,Completed,0.0013498980316300946,0.001293025697189739,0,12000,0,0.0063051
one_tail,95009,prior,Completed,0.0013498980316300946,8.33333333333334E-4,0,12000,0,0.0035151
one_tail,95010,weighted,Fitted,0.0013498980316300946,0.0013809571351199362,3000,9000,9168,0.0124472
one_tail,95010,supplied,Completed,0.0013498980316300946,0.0013546652384042028,0,12000,0,0.0067382
one_tail,95010,prior,Completed,0.0013498980316300946,0.0019166666666666679,0,12000,0,0.0035813
one_tail,95010,single,Fitted,0.0013498980316300946,0.0013811706619456135,3000,9000,0,0.0064471
one_tail,95011,supplied,Completed,0.0013498980316300946,0.0013310202368301564,0,12000,0,0.0061165
one_tail,95011,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0036979
one_tail,95011,single,Fitted,0.0013498980316300946,0.0013456584174491766,3000,9000,0,0.0061539
one_tail,95011,weighted,Fitted,0.0013498980316300946,0.0013600041886629637,3000,9000,11694,0.0100139
one_tail,95012,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0036458
one_tail,95012,single,Fitted,0.0013498980316300946,0.0013337293315212185,3000,9000,0,0.0058605
one_tail,95012,weighted,Fitted,0.0013498980316300946,0.0013289641049874566,3000,9000,10664,0.009332
one_tail,95012,supplied,Completed,0.0013498980316300946,0.0013254251690741413,0,12000,0,0.0059975
one_tail,95013,single,Fitted,0.0013498980316300946,0.0013395227040674488,3000,9000,0,0.0055219
one_tail,95013,weighted,Fitted,0.0013498980316300946,0.0013756788978543644,3000,9000,10914,0.00993
one_tail,95013,supplied,Completed,0.0013498980316300946,0.0013289859217436091,0,12000,0,0.0057864
one_tail,95013,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.0036944
one_tail,95014,weighted,Fitted,0.0013498980316300946,0.0013351899109550083,3000,9000,15992,0.0110505
one_tail,95014,supplied,Completed,0.0013498980316300946,0.0013715626377546158,0,12000,0,0.0092616
one_tail,95014,prior,Completed,0.0013498980316300946,0.0015000000000000007,0,12000,0,0.004388
one_tail,95014,single,Fitted,0.0013498980316300946,0.0013265059683215793,3000,9000,0,0.0060205
one_tail,95015,supplied,Completed,0.0013498980316300946,0.0013280763526129999,0,12000,0,0.0060877
one_tail,95015,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.0037849
one_tail,95015,single,Fitted,0.0013498980316300946,0.0013476403786582404,3000,9000,0,0.0054874
one_tail,95015,weighted,Fitted,0.0013498980316300946,0.0013439166589786138,3000,9000,9990,0.009759
one_tail,95016,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0036311
one_tail,95016,single,Fitted,0.0013498980316300946,0.0013393762271726947,3000,9000,0,0.0057253
one_tail,95016,weighted,Fitted,0.0013498980316300946,0.0013582330217358817,3000,9000,10762,0.0094813
one_tail,95016,supplied,Completed,0.0013498980316300946,0.0013112898522185882,0,12000,0,0.0054609
one_tail,95017,single,Fitted,0.0013498980316300946,0.00135342217422857,3000,9000,0,0.0065027
one_tail,95017,weighted,Fitted,0.0013498980316300946,0.0013097639784442616,3000,9000,11730,0.01009
one_tail,95017,supplied,Completed,0.0013498980316300946,0.001354544106928222,0,12000,0,0.0054111
one_tail,95017,prior,Completed,0.0013498980316300946,0.0011666666666666676,0,12000,0,0.0038603
one_tail,95018,weighted,Fitted,0.0013498980316300946,0.0013362797032755941,3000,9000,10524,0.0096543
one_tail,95018,supplied,Completed,0.0013498980316300946,0.0013591094348759819,0,12000,0,0.0081473
one_tail,95018,prior,Completed,0.0013498980316300946,0.0013333333333333346,0,12000,0,0.0035235
one_tail,95018,single,Fitted,0.0013498980316300946,0.0013293078729096318,3000,9000,0,0.005636
one_tail,95019,supplied,Completed,0.0013498980316300946,0.001344539383949987,0,12000,0,0.0061932
one_tail,95019,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.003659
one_tail,95019,single,Fitted,0.0013498980316300946,0.0013321302973481647,3000,9000,0,0.0055734
one_tail,95019,weighted,Fitted,0.0013498980316300946,0.0013386335327453193,3000,9000,11152,0.0096169
one_tail,95020,prior,Completed,0.0013498980316300946,0.0014166666666666676,0,12000,0,0.0039028
one_tail,95020,single,Fitted,0.0013498980316300946,0.001365837971057191,3000,9000,0,0.0054728
one_tail,95020,weighted,MixtureFitFailure,0.0013498980316300946,NaN,3000,0,9140,0.0039567
one_tail,95020,supplied,Completed,0.0013498980316300946,0.0013400630586207604,0,12000,0,0.0054471
one_tail,95021,single,Fitted,0.0013498980316300946,0.0014055549390007997,3000,9000,0,0.0055699
one_tail,95021,weighted,Fitted,0.0013498980316300946,0.0013736864659542637,3000,9000,9746,0.0093
one_tail,95021,supplied,Completed,0.0013498980316300946,0.0013798674557736635,0,12000,0,0.0056147
one_tail,95021,prior,Completed,0.0013498980316300946,0.002083333333333335,0,12000,0,0.0035639
one_tail,95022,weighted,MixtureFitFailure,0.0013498980316300946,NaN,1000,0,200,7.716E-4
one_tail,95022,supplied,Completed,0.0013498980316300946,0.0013497328064218383,0,12000,0,0.0057542
one_tail,95022,prior,Completed,0.0013498980316300946,0.0010833333333333335,0,12000,0,0.0033792
one_tail,95022,single,Fitted,0.0013498980316300946,0.0013756709028918564,3000,9000,0,0.0056954
