blocked,workload,strategy,round,seed,method,query,truth,estimate,error,fullWidth,covered,criteriaMet,reason,drawsPerChain,checks,apiSeconds,rHat,bulkEss,meanEss,meanEssPerSecond,acceptance
blocked,correlated,joint-prior,0,62003,adaptive,y,0.0,-0.004735409189045581,-0.004735409189045581,0.08745417665890876,true,true,PrecisionReached,4000,2,0.0538303,1.007711306766846,1136.9443364454658,1127.5004263766211,20945.460574743614,0.13468750000000002
blocked,correlated,diagonal,0,62003,fixed,x,0.0,0.022886629317010465,0.022886629317010465,0.0881584108446194,true,true,FixedBudget,12000,1,0.1304215,1.0065734829279729,911.830592726956,918.3782340728002,7041.616865875643,0.08535416666666668
blocked,correlated,diagonal,0,62003,fixed,y,0.0,0.023614586447703534,0.023614586447703534,0.08910779425931098,true,true,FixedBudget,12000,1,0.1304215,1.006357353408013,910.2468599586392,916.0001816225504,7023.383273636252,0.08535416666666668
blocked,correlated,diagonal,0,62003,adaptive,x,0.0,0.01889651245029267,0.01889651245029267,0.10520411728965301,true,true,PrecisionReached,8000,4,0.1577719,1.0095248053835502,722.5632188332413,722.3572241397769,4578.49099959991,0.08631249999999999
blocked,correlated,diagonal,0,62003,adaptive,y,0.0,0.017875803810251112,0.017875803810251112,0.10589179762012663,true,true,PrecisionReached,8000,4,0.1577719,1.0090831866397034,703.9186390172677,702.4203275431823,4452.1256798148615,0.08631249999999999
blocked,correlated,block,0,62003,fixed,x,0.0,0.011088731781304567,0.011088731781304567,0.03697444810696279,true,true,FixedBudget,12000,1,0.1451461,1.00064087799886,6895.805786891583,6896.940786462574,47517.23116544347,0.3566458333333334
blocked,correlated,block,0,62003,fixed,y,0.0,0.012106332881428386,0.012106332881428386,0.03637251242455835,true,true,FixedBudget,12000,1,0.1451461,1.0005862986702208,6852.196670553531,6854.06569853947,47221.83853744241,0.3566458333333334
blocked,correlated,block,0,62003,adaptive,x,0.0,0.006255646832315331,0.006255646832315331,0.08116798868063899,true,true,PrecisionReached,2000,1,0.0246955,1.0022105509436259,1161.2418704680015,1157.1426652015311,46856.41777657999,0.34625
blocked,correlated,block,0,62003,adaptive,y,0.0,0.004620942752577115,0.004620942752577115,0.08141039191672275,true,true,PrecisionReached,2000,1,0.0246955,1.001798205447489,1144.5562410867258,1137.5479133229962,46062.96342746639,0.34625
blocked,multimodal,default,0,62003,fixed,positive,0.5,0.5176875000000001,0.017687500000000078,0.02549119009076972,false,true,FixedBudget,12000,1,0.1081361,1.0010706631379227,7097.802905449872,7097.802905449736,65637.68163869176,0.27727083333333336
blocked,multimodal,default,0,62003,fixed,x,0.0,0.14835332713915683,0.14835332713915683,0.2080917655652577,false,true,FixedBudget,12000,1,0.1081361,1.0013840018012943,7893.410335803538,7070.978346301689,65389.618696269696,0.27727083333333336
blocked,multimodal,default,0,62003,adaptive,positive,0.5,0.542625,0.042625000000000024,0.05750992731678855,false,true,PrecisionReached,2000,1,0.0181758,1.0012977339472473,1321.7904538453633,1321.7904538453633,72722.54612426212,0.27425000000000005
blocked,multimodal,default,0,62003,adaptive,x,0.0,0.3330813105861563,0.3330813105861563,0.47060876943201596,false,true,PrecisionReached,2000,1,0.0181758,1.0044377695772138,1418.5543529080637,1310.39132061407,72095.38620660825,0.27425000000000005
blocked,multimodal,block,0,62003,fixed,positive,0.5,0.5,0.0,NaN,false,false,FixedBudget,12000,1,0.1136828,Infinity,4.000333361113426,4.000333361113426,35.18855412703967,0.7040624999999999
blocked,multimodal,block,0,62003,fixed,x,0.0,0.009532903563498785,0.009532903563498785,0.043348184912305736,true,false,FixedBudget,12000,1,0.1136828,1.733539728580414,6.066998724707725,4.125216987296615,36.287081135375054,0.7040624999999999
blocked,multimodal,block,0,62003,adaptive,positive,0.5,0.5,0.0,NaN,false,false,MaxDrawsReached,12000,6,0.3385572,Infinity,4.000333361113426,4.000333361113426,11.815827166320569,0.7040624999999999
blocked,multimodal,block,0,62003,adaptive,x,0.0,0.009532903563498785,0.009532903563498785,0.043348184912305736,true,false,MaxDrawsReached,12000,6,0.3385572,1.733539728580414,6.066998724707725,4.125216987296615,12.184697260305246,0.7040624999999999
blocked,multimodal,mixed,0,62003,fixed,positive,0.5,0.5172708333333333,0.017270833333333346,0.05687494956097485,true,true,FixedBudget,12000,1,0.1167702,1.002975464923375,1312.0458125469033,1312.0458125469142,11236.135696838013,0.6187291666666668
blocked,multimodal,mixed,0,62003,fixed,x,0.0,0.13464657889459897,0.13464657889459897,0.45712104218241256,true,true,FixedBudget,12000,1,0.1167702,1.0021497441135236,1849.3343514147994,1340.3610467798053,11478.622514818038,0.6187291666666668
blocked,multimodal,mixed,0,62003,adaptive,positive,0.5,0.4945,-0.005500000000000005,0.07420531900197741,true,true,PrecisionReached,6000,3,0.0910337,1.0027778327530472,711.626690624207,711.6266906242114,7817.178590172776,0.6209583333333333
blocked,multimodal,mixed,0,62003,adaptive,x,0.0,-0.05079906562167125,-0.05079906562167125,0.5958152268279445,true,true,PrecisionReached,6000,3,0.0910337,1.0018608955953727,1034.9201590250316,737.1588549980962,8097.647958921765,0.6209583333333333
blocked,normal,block,1,69922,fixed,x,0.0,0.0029688831095959767,0.0029688831095959767,0.05584839590667771,true,true,FixedBudget,12000,1,0.128372,1.000483447613979,6443.134128977062,6431.973256031651,50104.175801823214,0.357125
blocked,normal,block,1,69922,fixed,y,0.0,0.015198584800613146,0.015198584800613146,0.05401941542233977,true,true,FixedBudget,12000,1,0.128372,1.000399841881562,6742.2065598570825,6736.451116749446,52476.015928313376,0.357125
blocked,normal,block,1,69922,adaptive,x,0.0,0.036917796862270924,0.036917796862270924,0.1299941808968706,true,true,PrecisionReached,2000,1,0.0239876,1.0026839418888842,1107.7249845025283,1104.0562275258608,46026.12297711571,0.358375
blocked,normal,block,1,69922,adaptive,y,0.0,0.06982384943728764,0.06982384943728764,0.13222998138504527,false,true,PrecisionReached,2000,1,0.0239876,1.0019677654670305,1031.2013805972108,1030.9828801769434,42979.82625093562,0.358375
blocked,correlated,default,1,69922,fixed,x,0.0,-0.010171193893877384,-0.010171193893877384,0.13900748007413644,true,false,FixedBudget,12000,1,0.1074783,1.1600461041401637,20.24180422048416,21.19458823910653,197.19876699860836,0.15364583333333331
blocked,correlated,default,1,69922,fixed,y,0.0,-0.010429320963717332,-0.010429320963717332,0.13989748012889794,true,false,FixedBudget,12000,1,0.1074783,1.1608598174413407,19.901401389414062,20.778954145050896,193.3316227094297,0.15364583333333331
blocked,correlated,default,1,69922,adaptive,x,0.0,-0.010171193893877384,-0.010171193893877384,0.13900748007413644,true,false,MaxDrawsReached,12000,6,0.3118877,1.1600461041401637,20.24180422048416,21.19458823910653,67.95583230472549,0.15364583333333331
blocked,correlated,default,1,69922,adaptive,y,0.0,-0.010429320963717332,-0.010429320963717332,0.13989748012889794,true,false,MaxDrawsReached,12000,6,0.3118877,1.1608598174413407,19.901401389414062,20.778954145050896,66.62319208180027,0.15364583333333331
blocked,correlated,joint-prior,1,69922,fixed,x,0.0,-0.0014040857536312679,-0.0014040857536312679,0.05336870177577778,true,true,FixedBudget,12000,1,0.1317322,1.002347858849871,3255.2424928535947,3243.338621009587,24620.69730111231,0.1300625
blocked,correlated,joint-prior,1,69922,fixed,y,0.0,-0.00157555957261446,-0.00157555957261446,0.0540063991717508,true,true,FixedBudget,12000,1,0.1317322,1.002143686095808,3221.1841952532086,3202.084700465616,24307.53225457114,0.1300625
blocked,correlated,joint-prior,1,69922,adaptive,x,0.0,-0.015367219867095994,-0.015367219867095994,0.09242716188671192,true,true,PrecisionReached,4000,2,0.0497404,1.0067670276030896,1015.9100380281244,1016.3693390302105,20433.4773952403,0.12975
blocked,correlated,joint-prior,1,69922,adaptive,y,0.0,-0.015028944830796198,-0.015028944830796198,0.0934764816010159,true,true,PrecisionReached,4000,2,0.0497404,1.006391417220958,1003.9203931259088,1007.8936773667259,20263.079455869392,0.12975
blocked,correlated,diagonal,1,69922,fixed,x,0.0,0.0146152157607648,0.0146152157607648,0.09561768859453713,true,true,FixedBudget,12000,1,0.1210622,1.0013228137771761,889.9151281696314,890.8469752816899,7358.589016899494,0.08297916666666667
blocked,correlated,diagonal,1,69922,fixed,y,0.0,0.018203663263835157,0.018203663263835157,0.09549989603061106,true,true,FixedBudget,12000,1,0.1210622,1.0016550885532176,889.8853444408903,889.2263674446699,7345.202445062703,0.08297916666666667
blocked,correlated,diagonal,1,69922,adaptive,x,0.0,0.011543535302417807,0.011543535302417807,0.10117546448156514,true,true,PrecisionReached,10000,5,0.2452842,1.0011431856213997,775.1145982887317,776.591444176508,3166.0883341711697,0.083175
blocked,correlated,diagonal,1,69922,adaptive,y,0.0,0.015260455463977252,0.015260455463977252,0.10109893907264186,true,true,PrecisionReached,10000,5,0.2452842,1.001676029962237,768.7869708506042,767.3215084881839,3128.2957014279104,0.083175
blocked,correlated,block,1,69922,fixed,x,0.0,-0.0057951523691001094,-0.0057951523691001094,0.04002065767925487,true,true,FixedBudget,12000,1,0.1336296,1.000304539525943,6508.052453109813,6498.980045633743,48634.284961069585,0.35650000000000004
blocked,correlated,block,1,69922,fixed,y,0.0,-0.0035113468891442845,-0.0035113468891442845,0.04017261728548422,true,true,FixedBudget,12000,1,0.1336296,1.0002637454172523,6482.984979845467,6477.811291579446,48475.87130081544,0.35650000000000004
blocked,correlated,block,1,69922,adaptive,x,0.0,-0.004006856985757978,-0.004006856985757978,0.08699372295099944,true,true,PrecisionReached,2000,1,0.0241752,1.002292071304474,1128.6249488687292,1126.8917860201516,46613.545535100086,0.35487499999999994
blocked,correlated,block,1,69922,adaptive,y,0.0,7.216033443246395E-4,7.216033443246395E-4,0.08780168560625376,true,true,PrecisionReached,2000,1,0.0241752,1.0026191060350067,1115.0562945455665,1112.2192677018938,46006.621153160835,0.35487499999999994
blocked,multimodal,default,1,69922,fixed,positive,0.5,0.5025,0.0024999999999999467,0.025416279622322097,true,true,FixedBudget,12000,1,0.1086502,1.0001987461851145,7451.240555880925,7451.240555880937,68580.09056477518,0.27677083333333335
blocked,multimodal,default,1,69922,fixed,x,0.0,0.023093434778953537,0.023093434778953537,0.21036217667605042,true,true,FixedBudget,12000,1,0.1086502,1.0005429665482137,8148.301569467188,7330.203774225745,67466.08634154144,0.27677083333333335
blocked,multimodal,default,1,69922,adaptive,positive,0.5,0.487875,-0.012124999999999997,0.06417338128936709,true,true,PrecisionReached,2000,1,0.0181818,1.002215847791016,1111.1669816552533,1111.1669816552505,61114.24510528388,0.271
blocked,multimodal,default,1,69922,adaptive,x,0.0,-0.09687218448528778,-0.09687218448528778,0.5320094427130542,true,true,PrecisionReached,2000,1,0.0181818,1.0025555470512488,1140.6555063403916,1073.1901071781895,59025.514920315334,0.271
blocked,multimodal,block,1,69922,fixed,positive,0.5,0.5307291666666667,0.030729166666666696,NaN,false,false,FixedBudget,12000,1,0.1126728,3.4838420119662796,4.371370063678533,4.371370063678533,38.79703054932986,0.7039166666666666
blocked,multimodal,block,1,69922,fixed,x,0.0,0.23855345472100442,0.23855345472100442,0.2787563319490982,false,false,FixedBudget,12000,1,0.1126728,1.6039059301880771,6.605173446120387,4.505222084217602,39.98500156397641,0.7039166666666666
blocked,multimodal,block,1,69922,adaptive,positive,0.5,0.5307291666666667,0.030729166666666696,NaN,false,false,MaxDrawsReached,12000,6,0.3387041,3.4838420119662796,4.371370063678533,4.371370063678533,12.906162233284254,0.7039166666666666
blocked,multimodal,block,1,69922,adaptive,x,0.0,0.23855345472100442,0.23855345472100442,0.2787563319490982,false,false,MaxDrawsReached,12000,6,0.3387041,1.6039059301880771,6.605173446120387,4.505222084217602,13.301350896601493,0.7039166666666666
blocked,multimodal,mixed,1,69922,fixed,positive,0.5,0.505875,0.005874999999999964,0.05525939942634784,true,true,FixedBudget,12000,1,0.1161333,1.001047189880028,1359.987037134704,1359.987037134698,11710.569123022407,0.6194583333333332
blocked,multimodal,mixed,1,69922,fixed,x,0.0,0.05089432202722444,0.05089432202722444,0.4436784667258502,true,true,FixedBudget,12000,1,0.1161333,1.0009196808834926,1889.0698627847557,1387.2386737543552,11945.227370223314,0.6194583333333332
blocked,multimodal,mixed,1,69922,adaptive,positive,0.5,0.51275,0.012750000000000039,0.06737171427429234,true,true,PrecisionReached,8000,4,0.1459181,1.002082512434985,869.0493706116036,869.0493706116048,5955.733871340189,0.620375
blocked,multimodal,mixed,1,69922,adaptive,x,0.0,0.1079769783216471,0.1079769783216471,0.5410334129741313,true,true,PrecisionReached,8000,4,0.1459181,1.0014140992561178,1227.8706232162804,889.4822943596812,6095.763954983523,0.620375
blocked,normal,default,1,69922,fixed,x,0.0,0.019555948177142346,0.019555948177142346,0.03586631917580811,false,true,FixedBudget,12000,1,0.1191951,1.0003701750379115,15864.558229120632,15848.917245568604,132966.18103905785,1.0
blocked,normal,default,1,69922,fixed,y,0.0,-0.009258074964084928,-0.009258074964084928,0.03524287693416649,true,true,FixedBudget,12000,1,0.1191951,1.00015305654858,15566.337611381388,15555.199536961842,130502.0050065971,1.0
blocked,normal,default,1,69922,adaptive,x,0.0,0.0032711288020552676,0.0032711288020552676,0.09085770249090139,true,true,PrecisionReached,2000,1,0.0179098,1.0010100540727322,2496.5084196097896,2494.899377075626,139303.58669977475,1.0
blocked,normal,default,1,69922,adaptive,y,0.0,0.02248077640624535,0.02248077640624535,0.09155656969787737,true,true,PrecisionReached,2000,1,0.0179098,1.001088236128693,2578.0010295555803,2571.5343563236006,143582.52779615633,1.0
blocked,correlated,default,2,77841,fixed,x,0.0,0.0929820486585286,0.0929820486585286,0.1447280758018869,false,false,FixedBudget,12000,1,0.1057833,1.037477955472898,73.62290977454846,71.18119351730769,672.8963221728543,0.1545625
blocked,correlated,default,2,77841,fixed,y,0.0,0.09151397395218708,0.09151397395218708,0.14476779101727613,false,false,FixedBudget,12000,1,0.1057833,1.0374633128876785,72.79842506366735,69.88568171184495,660.6494759744209,0.1545625
