"budgetResearch","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","pilotEvaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"budgetResearch","banana","affine-gpss","1","916760","fixed","50000","5557","22616","200000","14986","30032","Ok","FixedBudget","xSquared","1.0","0.9890323979031118","0.081496274502722","8050.742899886274","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","50000","5557","22616","200000","14986","30032","Ok","FixedBudget","y","0.0","-0.0027723919753037674","0.04402550834636188","7825.392676480953","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","50000","5557","22616","200000","14986","30032","Ok","FixedBudget","ySquared","0.57","0.5714879138368184","0.09137348843077192","6063.301090668523","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","100000","12115","49236","400000","14986","30032","Ok","FixedBudget","event","0.045500263896358334","0.047152290548906316","0.007403139001322747","21756.928968562475","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","100000","12115","49236","400000","14986","30032","Ok","FixedBudget","x","0.0","-0.006031237005886481","0.03224762954747395","25522.770915468387","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","100000","12115","49236","400000","14986","30032","Ok","FixedBudget","xSquared","1.0","1.000083124276907","0.05646325081728272","17188.72523873818","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","100000","12115","49236","400000","14986","30032","Ok","FixedBudget","y","0.0","-8.530064647018498E-4","0.03028055733128489","16798.202559383804","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","fixed","100000","12115","49236","400000","14986","30032","Ok","FixedBudget","ySquared","0.57","0.580347308381011","0.06939377482847166","11674.299316276556","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","stopped","25000","2266","9306","100000","14986","30032","Ok","PrecisionReached","event","0.045500263896358334","0.045675198587819946","0.016326837060626397","4340.248593993974","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","stopped","25000","2266","9306","100000","14986","30032","Ok","PrecisionReached","x","0.0","0.003994906498673734","0.07110715820974987","5124.711977326184","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","stopped","25000","2266","9306","100000","14986","30032","Ok","PrecisionReached","xSquared","1.0","0.9762502073904581","0.12954366416328955","3168.9660976669893","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","stopped","25000","2266","9306","100000","14986","30032","Ok","PrecisionReached","y","0.0","-0.012995081106372763","0.07030311229571674","3023.164291408435","true","true",""
"budgetResearch","banana","affine-gpss","1","916760","stopped","25000","2266","9306","100000","14986","30032","Ok","PrecisionReached","ySquared","0.57","0.5631175258870931","0.1530883979082917","2162.8396059450884","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","25000","2202","9090","100000","14843","30402","Ok","FixedBudget","event","0.045500263896358334","0.042915531335149866","0.015393811932012657","4600.614774339237","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","25000","2202","9090","100000","14843","30402","Ok","FixedBudget","x","0.0","-0.019302522118281873","0.07724254281387874","5247.879669424687","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","25000","2202","9090","100000","14843","30402","Ok","FixedBudget","xSquared","1.0","0.9986177832603653","0.11188195418554722","3907.070838996444","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","25000","2202","9090","100000","14843","30402","Ok","FixedBudget","y","0.0","0.00815366032679099","0.06366765489557641","3463.937776264784","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","25000","2202","9090","100000","14843","30402","Ok","FixedBudget","ySquared","0.57","0.5290770271325346","0.10564620802806977","3234.9585955378784","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","50000","5404","22138","200000","14843","30402","Ok","FixedBudget","event","0.045500263896358334","0.046770910436713546","0.011334511613343033","9210.46867442542","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","50000","5404","22138","200000","14843","30402","Ok","FixedBudget","x","0.0","-0.02177854322349071","0.048956024376492484","11248.127749460547","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","50000","5404","22138","200000","14843","30402","Ok","FixedBudget","xSquared","1.0","1.0162043116723583","0.09003139648181901","6786.732441701949","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","50000","5404","22138","200000","14843","30402","Ok","FixedBudget","y","0.0","0.011264274209668579","0.04780113935430615","6758.422094093206","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","50000","5404","22138","200000","14843","30402","Ok","FixedBudget","ySquared","0.57","0.5819722316320217","0.1252672119030308","3868.590621525817","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","100000","11941","48328","400000","14843","30402","Ok","FixedBudget","event","0.045500263896358334","0.04608073025709739","0.007378399707370979","21429.392579260864","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","100000","11941","48328","400000","14843","30402","Ok","FixedBudget","x","0.0","-0.004648063671151781","0.032346532687498146","26105.410238776007","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","100000","11941","48328","400000","14843","30402","Ok","FixedBudget","xSquared","1.0","1.0085793700050802","0.058601807212864725","15529.946093086128","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","100000","11941","48328","400000","14843","30402","Ok","FixedBudget","y","0.0","0.005039880206927416","0.031569409578122314","15274.45716901833","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","fixed","100000","11941","48328","400000","14843","30402","Ok","FixedBudget","ySquared","0.57","0.5736073307452485","0.07673012535240234","9155.607914375914","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","stopped","25000","2202","9090","100000","14843","30402","Ok","PrecisionReached","event","0.045500263896358334","0.042915531335149866","0.015393811932012657","4600.614774339237","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","stopped","25000","2202","9090","100000","14843","30402","Ok","PrecisionReached","x","0.0","-0.019302522118281873","0.07724254281387874","5247.879669424687","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","stopped","25000","2202","9090","100000","14843","30402","Ok","PrecisionReached","xSquared","1.0","0.9986177832603653","0.11188195418554722","3907.070838996444","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","stopped","25000","2202","9090","100000","14843","30402","Ok","PrecisionReached","y","0.0","0.00815366032679099","0.06366765489557641","3463.937776264784","true","true",""
"budgetResearch","banana","affine-gpss","2","1021489","stopped","25000","2202","9090","100000","14843","30402","Ok","PrecisionReached","ySquared","0.57","0.5290770271325346","0.10564620802806977","3234.9585955378784","true","true",""
