fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
curved,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5104809246691644,-2.838566499063276,0.1165,0.03925,0.7382,2.0267,1.6651
curved,103002,1,gvm-regression,6,completed,1200,4000,4000,0.5104809246691644,-1.3393735916182439,0.03625,0.03925,0.9476,2.3087,1.6218
curved,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5104809246691644,-2.7197270506616786,0.117,0.03925,1.1407,3.8132,1.6563
curved,103002,2,gvm-regression,13,completed,1200,4000,4000,0.5104809246691644,-1.3768504227017566,0.029,0.03925,0.7991,3.0914,1.2469
curved,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5104809246691644,-2.2398608141686744,0.099,0.03925,0.9355,5.5881,1.0087
curved,103002,4,gvm-regression,27,completed,1200,4000,4000,0.5104809246691644,-1.4113243791247132,0.0235,0.03925,0.6998,2.8419,0.9715
curved,103003,1,gvm-regression,6,completed,1200,4000,4000,0.5502044122491806,-1.5361311598364848,0.04075,0.03675,0.7654,1.6375,0.8024
curved,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5502044122491806,-2.853398161164953,0.12475,0.03675,0.7103,1.103,0.8978
curved,103003,2,gvm-regression,13,completed,1200,4000,4000,0.5502044122491806,-1.6549961071775494,0.03475,0.03675,0.8468,1.867,0.8716
curved,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5502044122491806,-2.744923450702243,0.1305,0.03675,0.597,2.5105,0.8975
curved,103003,4,gvm-regression,27,completed,1200,4000,4000,0.5502044122491806,-1.6413627180284631,0.039,0.03675,0.6729,2.748,1.0963
curved,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5502044122491806,-2.1941917479119675,0.10875,0.03675,0.7058,2.9786,0.9541
curved,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.4838928605992185,-2.813913592593539,0.12225,0.03875,0.7359,1.3012,0.8306
curved,103004,1,gvm-regression,6,completed,1200,4000,4000,0.4838928605992185,-1.4890508005050684,0.043,0.03875,0.6284,1.4429,0.9094
curved,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.4838928605992185,-2.7412221231114495,0.134,0.03875,0.6093,1.821,0.874
curved,103004,2,gvm-regression,13,completed,1200,4000,4000,0.4838928605992185,-1.632898105319891,0.02075,0.03875,0.4962,1.8181,0.9589
curved,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.4838928605992185,-2.1754338096853636,0.10225,0.03875,0.6465,2.8192,0.8388
curved,103004,4,gvm-regression,27,completed,1200,4000,4000,0.4838928605992185,-1.5794626816519786,0.035,0.03875,2.5407,2.2337,0.854
seam,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0415761626592572,-1.9644171390539187,0.0065,0.03475,0.7358,1.084,0.7107
seam,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.0415761626592572,-1.4988718888592973,0.033,0.03475,0.509,1.1149,0.7783
seam,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0415761626592572,-1.7097838048757326,0.016,0.03475,0.4268,1.9863,0.8517
seam,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.0415761626592572,-1.5427350949531904,0.0165,0.03475,0.5368,1.5497,0.7633
seam,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0415761626592572,-1.672087070439738,0.0255,0.03475,0.6641,3.1849,0.7935
seam,103000,4,gvm-regression,27,completed,1200,4000,4000,-3.0415761626592572,-1.5745684036261203,0.02175,0.03475,0.653,2.2823,0.7964
seam,103001,1,gvm-regression,6,completed,1200,4000,4000,-3.0237307745417272,-1.488062412892449,0.03525,0.03475,0.7336,1.4176,0.9009
seam,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0237307745417272,-1.9490955310226377,0.01275,0.03475,0.7397,1.4183,0.8052
seam,103001,2,gvm-regression,13,completed,1200,4000,4000,-3.0237307745417272,-1.541718889829234,0.02,0.03475,0.4417,1.5574,0.809
seam,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0237307745417272,-1.7037080876683643,0.0225,0.03475,0.4634,1.7305,0.7072
seam,103001,4,gvm-regression,27,completed,1200,4000,4000,-3.0237307745417272,-1.5650728739668378,0.02675,0.03475,0.4867,2.3108,0.8007
seam,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0237307745417272,-1.662459034593803,0.02725,0.03475,0.5338,2.993,0.9736
seam,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0457529752504175,-1.969675198130585,0.01,0.0385,0.7225,1.17,0.8336
seam,103002,1,gvm-regression,6,completed,1200,4000,4000,-3.0457529752504175,-1.489214711037171,0.0345,0.0385,0.663,1.1081,0.731
seam,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0457529752504175,-1.8159990807930197,0.017,0.0385,0.4781,1.7027,0.8755
seam,103002,2,gvm-regression,13,completed,1200,4000,4000,-3.0457529752504175,-1.525946656071496,0.025,0.0385,0.4176,1.1592,0.7923
seam,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0457529752504175,-1.770134700651503,0.031,0.0385,0.5262,2.4258,0.6111
seam,103002,4,gvm-regression,27,completed,1200,4000,4000,-3.0457529752504175,-1.5620151533609319,0.03375,0.0385,0.5133,1.9964,0.8279
seam,103003,1,gvm-regression,6,completed,1200,4000,4000,-3.019916221351017,-1.523727987392553,0.0445,0.03775,0.5486,0.7742,0.6601
seam,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.019916221351017,-1.9908978664875145,0.01225,0.03775,0.5378,0.8629,0.5378
seam,103003,2,gvm-regression,13,completed,1200,4000,4000,-3.019916221351017,-1.5710961215515067,0.028,0.03775,0.3692,1.0388,0.6771
seam,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.019916221351017,-1.8309259662087298,0.02575,0.03775,0.5346,1.5015,0.55
seam,103003,4,gvm-regression,27,completed,1200,4000,4000,-3.019916221351017,-1.5906948881277487,0.04125,0.03775,0.4592,1.7549,0.7063
seam,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.019916221351017,-1.7693943970001291,0.04025,0.03775,1.0581,2.8463,0.8402
seam,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0429476344929123,-1.958856661942704,0.01075,0.03725,0.6268,0.7564,0.6918
seam,103004,1,gvm-regression,6,completed,1200,4000,4000,-3.0429476344929123,-1.4973069354226543,0.03725,0.03725,0.624,0.7633,0.7745
seam,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0429476344929123,-1.7484220032955025,0.02425,0.03725,0.5703,1.2313,0.6241
seam,103004,2,gvm-regression,13,completed,1200,4000,4000,-3.0429476344929123,-1.5408583197966412,0.03325,0.03725,0.54,1.005,0.7791
seam,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,-3.0429476344929123,-1.7110390252024248,0.03925,0.03725,0.6205,2.1869,0.6173
seam,103004,4,gvm-regression,27,completed,1200,4000,4000,-3.0429476344929123,-1.5667781149598337,0.046,0.03725,0.4828,1.7518,0.8242
separated,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-0.01705453676543185,-2.6351207482738164,0.24775,0.36675,0.5889,0.6939,1.7526
separated,103000,1,gvm-regression,6,completed,1200,4000,4000,-0.01705453676543185,-2.6417487755623,0.238,0.36675,0.6778,0.6944,0.6814
separated,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-0.01705453676543185,-2.3840683692789484,0.36525,0.36675,0.5164,1.2993,0.6643
separated,103000,2,gvm-regression,13,completed,1200,4000,4000,-0.01705453676543185,-2.3861683148819925,0.36975,0.36675,0.4964,1.0742,0.7259
separated,103000,4,gmm-chart-moments,23,completed,1200,4000,4000,-0.01705453676543185,-2.430238080070265,0.35675,0.36675,0.5198,2.2891,0.7134
separated,103000,4,gvm-regression,27,completed,1200,4000,4000,-0.01705453676543185,-2.4304074341793043,0.359,0.36675,0.4632,1.9388,0.801
