"research","target","sampler","round","seed","method","draws","query","truth","estimate","fullWidth","covered","criteriaMet","reason","meanEss","evaluationsFullRun","failureReasons"
"research","banana","figaro-block","3","164768","stopped","8000","event","0.045500263896358334","0.04074999999999995","0.023132110945800713","true","true","PrecisionReached","1938.816067417835","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","x","0.0","0.005968866730100331","0.12203342576859061","true","true","PrecisionReached","1699.3170846130618","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","xSquared","1.0","0.9535435536694283","0.18090037613535764","true","true","PrecisionReached","1348.398070846164","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","y","0.0","-0.02840723495352071","0.09669329343923688","true","true","PrecisionReached","1461.2576434759062","79675",""
"research","banana","figaro-block","3","164768","stopped","8000","ySquared","0.57","0.5155752525501707","0.11859328662526197","true","true","PrecisionReached","1626.7220303622682","79675",""
"research","banana","figaro-block","4","172687","fixed","12000","event","0.045500263896358334","0.043375","0.020445034778126956","true","true","FixedBudget","2634.5637094719723","80123",""
"research","banana","figaro-block","4","172687","fixed","12000","x","0.0","0.04806328596617243","0.09909527236491289","true","true","FixedBudget","2641.3499069091326","80123",""
"research","banana","figaro-block","4","172687","fixed","12000","xSquared","1.0","0.9796116803089304","0.15237729910052986","true","true","FixedBudget","2068.195251035992","80123",""
"research","banana","figaro-block","4","172687","fixed","12000","y","0.0","-0.003186938191257205","0.08259308475045193","true","true","FixedBudget","2100.66036545697","80123",""
"research","banana","figaro-block","4","172687","fixed","12000","ySquared","0.57","0.5399433365766224","0.1487959675976751","true","true","FixedBudget","1677.1859319400469","80123",""
"research","banana","figaro-block","4","172687","stopped","8000","event","0.045500263896358334","0.04003125","0.023827744013483677","true","true","PrecisionReached","1796.3796144057264","80123",""
"research","banana","figaro-block","4","172687","stopped","8000","x","0.0","0.04214155335490362","0.1216586932677125","true","true","PrecisionReached","1729.547739562587","80123",""
"research","banana","figaro-block","4","172687","stopped","8000","xSquared","1.0","0.9662956639999075","0.17673822618995916","true","true","PrecisionReached","1497.3676259820509","80123",""
"research","banana","figaro-block","4","172687","stopped","8000","y","0.0","-0.013445162594686644","0.09444459710711434","true","true","PrecisionReached","1579.7350517358393","80123",""
"research","banana","figaro-block","4","172687","stopped","8000","ySquared","0.57","0.5311028298193092","0.17096430008646157","true","true","PrecisionReached","1236.6007794230388","80123",""
"research","banana","figaro-block","5","180606","fixed","12000","event","0.045500263896358334","0.051916666666666667","0.025766811700642663","true","true","FixedBudget","1967.5924325957826","80099",""
"research","banana","figaro-block","5","180606","fixed","12000","x","0.0","-0.020925262044463627","0.11595966809450346","true","true","FixedBudget","2075.123218891594","80099",""
"research","banana","figaro-block","5","180606","fixed","12000","xSquared","1.0","1.0518055378907778","0.19477902411948037","true","true","FixedBudget","1496.834375365111","80099",""
"research","banana","figaro-block","5","180606","fixed","12000","y","0.0","0.03026834610979312","0.09572645033163617","true","true","FixedBudget","1730.8102202753344","80099",""
"research","banana","figaro-block","5","180606","fixed","12000","ySquared","0.57","0.5985155862650328","0.2130078595311609","true","false","FixedBudget","1032.0243895262256","80099","WidthTooLarge"
"research","banana","figaro-block","5","180606","stopped","8000","event","0.045500263896358334","0.04440625","0.02306689961174964","true","true","PrecisionReached","2116.6384033364534","80099",""
"research","banana","figaro-block","5","180606","stopped","8000","x","0.0","0.004780072829235191","0.12459743895314634","true","true","PrecisionReached","1724.4865222150265","80099",""
"research","banana","figaro-block","5","180606","stopped","8000","xSquared","1.0","1.008742109818264","0.16926586993939513","true","true","PrecisionReached","1681.9285756167744","80099",""
"research","banana","figaro-block","5","180606","stopped","8000","y","0.0","0.01833585856296749","0.09093982318262361","true","true","PrecisionReached","1720.939141616548","80099",""
"research","banana","figaro-block","5","180606","stopped","8000","ySquared","0.57","0.5365845932828613","0.14106425498708494","true","true","PrecisionReached","1589.6151213048008","80099",""
"research","banana","figaro-block","6","188525","fixed","12000","event","0.045500263896358334","0.039125","0.022589056081693343","true","true","FixedBudget","1955.36697411532","79860",""
"research","banana","figaro-block","6","188525","fixed","12000","x","0.0","-0.03627856081189007","0.11107629330948944","true","true","FixedBudget","2074.484218707541","79860",""
"research","banana","figaro-block","6","188525","fixed","12000","xSquared","1.0","0.9656994628872438","0.17356177453789062","true","true","FixedBudget","1619.2232864062994","79860",""
"research","banana","figaro-block","6","188525","fixed","12000","y","0.0","-0.01730433398196496","0.08521817588654257","true","true","FixedBudget","1976.1627477433474","79860",""
"research","banana","figaro-block","6","188525","fixed","12000","ySquared","0.57","0.5410338130803023","0.19379231652681833","true","false","FixedBudget","1123.6253819289507","79860","WidthTooLarge"
"research","banana","figaro-block","6","188525","stopped","12000","event","0.045500263896358334","0.039125","0.022589056081693343","true","true","MaxDrawsReached","1955.36697411532","79860",""
"research","banana","figaro-block","6","188525","stopped","12000","x","0.0","-0.03627856081189007","0.11107629330948944","true","true","MaxDrawsReached","2074.484218707541","79860",""
"research","banana","figaro-block","6","188525","stopped","12000","xSquared","1.0","0.9656994628872438","0.17356177453789062","true","true","MaxDrawsReached","1619.2232864062994","79860",""
"research","banana","figaro-block","6","188525","stopped","12000","y","0.0","-0.01730433398196496","0.08521817588654257","true","true","MaxDrawsReached","1976.1627477433474","79860",""
"research","banana","figaro-block","6","188525","stopped","12000","ySquared","0.57","0.5410338130803023","0.19379231652681833","true","false","MaxDrawsReached","1123.6253819289507","79860","WidthTooLarge"
"research","banana","figaro-block","7","196444","fixed","12000","event","0.045500263896358334","0.04535416666666667","0.02256943698973117","true","true","FixedBudget","2255.9071490707265","80248",""
"research","banana","figaro-block","7","196444","fixed","12000","x","0.0","-0.012573006683067545","0.10563576133414213","true","true","FixedBudget","2361.8623115414434","80248",""
"research","banana","figaro-block","7","196444","fixed","12000","xSquared","1.0","0.9932131004613619","0.1502280745362123","true","true","FixedBudget","2097.591023040978","80248",""
"research","banana","figaro-block","7","196444","fixed","12000","y","0.0","-0.004004467782927346","0.07957725128951139","true","true","FixedBudget","2231.365446789673","80248",""
"research","banana","figaro-block","7","196444","fixed","12000","ySquared","0.57","0.5324250171340672","0.12070431450492666","true","true","FixedBudget","1823.6736623683812","80248",""
"research","banana","figaro-block","7","196444","stopped","6000","event","0.045500263896358334","0.03929166666666667","0.026036315347223823","true","true","PrecisionReached","1477.9005452117979","80248",""
"research","banana","figaro-block","7","196444","stopped","6000","x","0.0","-0.010075860671502956","0.13031849722976172","true","true","PrecisionReached","1477.0515728975536","80248",""
"research","banana","figaro-block","7","196444","stopped","6000","xSquared","1.0","0.9452402081250093","0.17139430654163507","true","true","PrecisionReached","1449.7177504637407","80248",""
"research","banana","figaro-block","7","196444","stopped","6000","y","0.0","-0.02363756995576949","0.09655262311465262","true","true","PrecisionReached","1421.335176780223","80248",""
"research","banana","figaro-block","7","196444","stopped","6000","ySquared","0.57","0.49980222671421604","0.1243170597721543","false","true","PrecisionReached","1414.1152814453228","80248",""
"research","banana","figaro-block","8","204363","fixed","12000","event","0.045500263896358334","0.04479166666666667","0.022366729934496135","true","true","FixedBudget","2269.831066153964","80078",""
"research","banana","figaro-block","8","204363","fixed","12000","x","0.0","0.0034664003225593487","0.10650229121530586","true","true","FixedBudget","2318.806288755813","80078",""
"research","banana","figaro-block","8","204363","fixed","12000","xSquared","1.0","0.9910246087611774","0.16958939853769378","true","true","FixedBudget","1869.941817855312","80078",""
