case,seed,draws,method,fit,pilotCalls,fitCalls,productionCalls,reference,mean,ess,accurate,health
balanced,15127062,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4860505181894007,872.7912732847539,true,ChecksPassed
balanced,15127062,2000,multi,Fitted,12000,14880,2000,0.4997854698334016,0.4908599297815229,1371.1079044961639,true,ChecksPassed
balanced,15127062,10000,multi,Fitted,12000,14880,10000,0.4997854698334016,0.5061942360758495,6828.682933596028,true,ChecksPassed
balanced,15257425,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.49321388299500135,189.0709765387387,true,ChecksPassed
balanced,15257425,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.509179509212415,957.745368421473,true,ChecksPassed
balanced,15257425,2000,multi,Fitted,12000,14750,2000,0.4997854698334016,0.5321169664820224,1657.0891654867742,false,ChecksPassed
balanced,15257425,10000,multi,Fitted,12000,14750,10000,0.4997854698334016,0.5046675554767004,8184.26829848362,true,ChecksPassed
balanced,15387788,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.5514192427224381,182.31120858030744,false,ChecksPassed
balanced,15387788,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4862540247274831,974.4473145830237,true,ChecksPassed
balanced,15387788,2000,multi,Fitted,12000,14320,2000,0.4997854698334016,0.504562066170988,1635.4165196790505,true,ChecksPassed
balanced,15387788,10000,multi,Fitted,12000,14320,10000,0.4997854698334016,0.502586347910903,8148.971262822954,true,ChecksPassed
balanced,15518151,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.511891571270379,188.36481013546523,true,ChecksPassed
balanced,15518151,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.5122096349849399,956.1111215302358,true,ChecksPassed
balanced,15518151,2000,multi,Fitted,12000,14190,2000,0.4997854698334016,0.49980913469427973,1632.108711366969,true,ChecksPassed
balanced,15518151,10000,multi,Fitted,12000,14190,10000,0.4997854698334016,0.498219965939289,8102.565656382054,true,ChecksPassed
balanced,15648514,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4911627959368937,166.78797417076288,true,ChecksPassed
balanced,15648514,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.4862094596075348,859.521396218907,true,ChecksPassed
balanced,15648514,2000,multi,Fitted,12000,14330,2000,0.4997854698334016,0.4955235681256728,1423.0023595877321,true,ChecksPassed
balanced,15648514,10000,multi,Fitted,12000,14330,10000,0.4997854698334016,0.5039546745678289,7081.094590386107,true,ChecksPassed
balanced,15778877,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4698124511887022,193.01856404836042,false,ChecksPassed
balanced,15778877,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.46943553123122334,948.8650828940928,false,ChecksPassed
balanced,15778877,2000,multi,Fitted,12000,14520,2000,0.4997854698334016,0.49672203494374306,1697.8460741601752,true,ChecksPassed
balanced,15778877,10000,multi,Fitted,12000,14520,10000,0.4997854698334016,0.4923601983701916,8527.126923179361,true,ChecksPassed
balanced,15909240,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.4500087204837545,199.97086462279802,false,ChecksPassed
balanced,15909240,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.47436823622347335,976.37126284965,false,ChecksPassed
balanced,15909240,2000,multi,Fitted,12000,14450,2000,0.4997854698334016,0.49405359093483453,1687.4256051735674,true,ChecksPassed
balanced,15909240,10000,multi,Fitted,12000,14450,10000,0.4997854698334016,0.4953895793363777,8384.412087186804,true,ChecksPassed
balanced,16039603,2000,single,Fitted,12000,0,2000,0.4997854698334016,0.47768532323130963,217.01583262883045,true,ChecksPassed
balanced,16039603,10000,single,Fitted,12000,0,10000,0.4997854698334016,0.48196207962906246,1005.6384141008746,true,ChecksPassed
