case,seed,method,status,truth,estimate,mcse,eventEss,hits,pilotCalls,productionCalls,densityCalls,seconds
tail3,90004,prior,Completed,0.0013498980316300946,7.999999999999995E-4,2.827436902911173E-4,8.0,8,0,10000,20000,0.003617
tail3,90005,supplied,Completed,0.0013498980316300946,0.0013354870637775882,2.6202226509690047E-5,2062.2594752793107,4510,0,10000,20000,0.0053833
tail3,90005,prior,Completed,0.0013498980316300946,0.0015999999999999992,3.9969985739001537E-4,16.0,16,0,10000,20000,0.0036617
tail3,90005,ce,Fitted,0.0013498980316300946,0.0013661797276842006,2.3326872787962166E-5,2444.0780530327606,5048,1500,8500,20000,0.0060202
tail3,90006,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.462195644366158E-4,12.0,12,0,10000,20000,0.0055935
tail3,90006,ce,Fitted,0.0013498980316300946,0.001354392024269176,2.303912611429484E-5,2457.14632592542,4953,1500,8500,20000,0.0058849
tail3,90006,supplied,Completed,0.0013498980316300946,0.0013641190449943939,2.7009760886959835E-5,2032.4925991352193,4486,0,10000,20000,0.0057252
tail3,90007,ce,Fitted,0.0013498980316300946,0.0013670270579564951,2.2791009493644354E-5,2528.0081699477123,4962,1500,8500,20000,0.0056251
tail3,90007,supplied,Completed,0.0013498980316300946,0.001320872941978496,2.6380567289525415E-5,2004.6359018779401,4416,0,10000,20000,0.0054065
tail3,90007,prior,Completed,0.0013498980316300946,8.999999999999998E-4,2.9987996398439266E-4,9.0,9,0,10000,20000,0.0037303
tail3,90008,supplied,Completed,0.0013498980316300946,0.0013508492173157011,2.672019110089742E-5,2035.7444136394113,4461,0,10000,20000,0.0051899
tail3,90008,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.3149658972438963E-4,11.0,11,0,10000,20000,0.0035867
tail3,90008,ce,Fitted,0.0013498980316300946,0.0013418464677413702,2.269977257322114E-5,2476.5218033227397,4997,1500,8500,20000,0.0056587
tail3,90009,prior,Completed,0.0013498980316300946,0.0021999999999999984,4.685487741904535E-4,22.0,22,0,10000,20000,0.0036931
tail3,90009,ce,Fitted,0.0013498980316300946,0.0013349129225733209,2.265903485514538E-5,2464.6598169397466,5062,1500,8500,20000,0.0059029
tail3,90009,supplied,Completed,0.0013498980316300946,0.0013671434687419055,2.6481713278818943E-5,2104.5388927563954,4541,0,10000,20000,0.0057338
tail3,90010,ce,Fitted,0.0013498980316300946,0.0013689696730985416,2.3202643900145113E-5,2469.8597344726704,5091,1500,8500,20000,0.0058503
tail3,90010,supplied,Completed,0.0013498980316300946,0.0013640608054181769,2.6905481279527E-5,2044.9109763552658,4524,0,10000,20000,0.0053331
tail3,90010,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.4621956443661554E-4,12.0,12,0,10000,20000,0.0036531
tail3,90011,supplied,Completed,0.0013498980316300946,0.0013218543857416154,2.5957607240911118E-5,2059.377262343111,4495,0,10000,20000,0.0053102
tail3,90011,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251316E-4,13.0,13,0,10000,20000,0.0037958
tail3,90011,ce,Fitted,0.0013498980316300946,0.001333706369406455,2.3125291376972473E-5,2390.8763244402653,5175,1500,8500,20000,0.006008
tail3,90012,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.314965897243885E-4,11.0,11,0,10000,20000,0.0059122
tail3,90012,ce,Fitted,0.0013498980316300946,0.0013109282674833005,2.239918856451196E-5,2441.635595687601,4947,1500,8500,20000,0.0060039
tail3,90012,supplied,Completed,0.0013498980316300946,0.0013490294833107817,2.6566691396314017E-5,2050.092466840601,4473,0,10000,20000,0.0054214
tail3,90013,ce,Fitted,0.0013498980316300946,0.0013630764937841088,2.2939554020160008E-5,2494.7773849112405,5126,1500,8500,20000,0.0057282
tail3,90013,supplied,Completed,0.0013498980316300946,0.0013419647715622706,2.6423538581243267E-5,2050.5891357240334,4530,0,10000,20000,0.0058854
tail3,90013,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.4621956443661614E-4,12.0,12,0,10000,20000,0.0038151
tail3,90014,supplied,Completed,0.0013498980316300946,0.0013156378010176898,2.6137942063837625E-5,2021.5773941745135,4479,0,10000,20000,0.005203
tail3,90014,prior,Completed,0.0013498980316300946,6.999999999999995E-4,2.644957387172423E-4,7.0,7,0,10000,20000,0.0036405
tail3,90014,ce,Fitted,0.0013498980316300946,0.0013444487758975637,2.3199871788324455E-5,2407.415619750499,5103,1500,8500,20000,0.0063804
tail3,90015,prior,Completed,0.0013498980316300946,0.0016999999999999986,4.1198054905211036E-4,17.0,17,0,10000,20000,0.003675
tail3,90015,ce,Fitted,0.0013498980316300946,0.001351626213248333,2.2529016092952014E-5,2528.8329972100128,4884,1500,8500,20000,0.0059213
tail3,90015,supplied,Completed,0.0013498980316300946,0.0013513937485716636,2.659660794554661E-5,2052.13234856079,4468,0,10000,20000,0.0057477
tail3,90016,ce,Fitted,0.0013498980316300946,0.0013555705672517937,2.322975805171654E-5,2431.4765829525118,5059,1500,8500,20000,0.0057928
tail3,90016,supplied,Completed,0.0013498980316300946,0.0013253934638346706,2.635812191685747E-5,2018.3513228943707,4427,0,10000,20000,0.0054726
tail3,90016,prior,Completed,0.0013498980316300946,6.999999999999995E-4,2.644957387172427E-4,7.0,7,0,10000,20000,0.0036609
tail3,90017,supplied,Completed,0.0013498980316300946,0.001352753964041824,2.6506985414487466E-5,2066.461496607501,4484,0,10000,20000,0.0055549
tail3,90017,prior,Completed,0.0013498980316300946,0.0020999999999999973,4.5779903669164435E-4,21.0,21,0,10000,20000,0.0036953
tail3,90017,ce,Fitted,0.0013498980316300946,0.0013441992025987413,2.2526132952556297E-5,2509.752591962489,5034,1500,8500,20000,0.0058721
tail3,90018,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.739224275142907E-4,14.0,14,0,10000,20000,0.0053564
tail3,90018,ce,Fitted,0.0013498980316300946,0.0013740632024596775,2.335129269826027E-5,2460.505436494923,5060,1500,8500,20000,0.0057196
tail3,90018,supplied,Completed,0.0013498980316300946,0.001380296473970466,2.7090993752568248E-5,2061.098435313426,4455,0,10000,20000,0.005581
tail3,90019,ce,Fitted,0.0013498980316300946,0.0013744569689914722,2.3236720180964525E-5,2478.7449128699805,5153,1500,8500,20000,0.0059986
tail3,90019,supplied,Completed,0.0013498980316300946,0.0013452356771182245,2.6297342092297732E-5,2074.2338883574994,4530,0,10000,20000,0.0056837
tail3,90019,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251186E-4,13.0,13,0,10000,20000,0.0036005
tail3,90020,supplied,Completed,0.0013498980316300946,0.001308570738181389,2.6006750642950238E-5,2020.4349518485365,4546,0,10000,20000,0.0053406
tail3,90020,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.7392242751429003E-4,14.0,14,0,10000,20000,0.0036749
tail3,90020,ce,Fitted,0.0013498980316300946,0.001333140769344965,2.2863985578873333E-5,2428.652610450579,4984,1500,8500,20000,0.0062875
tail3,90021,prior,Completed,0.0013498980316300946,0.0024999999999999983,4.993995794892096E-4,25.0,25,0,10000,20000,0.0039491
tail3,90021,ce,Fitted,0.0013498980316300946,0.0013266625942476426,2.2259005434659777E-5,2505.5007552147504,4918,1500,8500,20000,0.006146
tail3,90021,supplied,Completed,0.0013498980316300946,0.0013670530277596162,2.6943955803061243E-5,2047.392047643822,4494,0,10000,20000,0.0053101
tail3,90022,ce,Fitted,0.0013498980316300946,0.0013787003467453174,2.244142294473754E-5,2613.940954338926,5138,1500,8500,20000,0.0055927
tail3,90022,supplied,Completed,0.0013498980316300946,0.0013980514782559958,2.7117126801776918E-5,2100.039004066172,4553,0,10000,20000,0.0055485
tail3,90022,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.314965897243873E-4,11.0,11,0,10000,20000,0.0036204
tail3,90023,supplied,Completed,0.0013498980316300946,0.0013716317759330384,2.6879196553450834E-5,2066.1804925886095,4446,0,10000,20000,0.0055127
tail3,90023,prior,Completed,0.0013498980316300946,0.0013999999999999991,3.739224275142897E-4,14.0,14,0,10000,20000,0.0037626
tail3,90023,ce,Fitted,0.0013498980316300946,0.0013315431546373313,2.2821604879365136E-5,2430.929970909616,5077,1500,8500,20000,0.0057415
tail3,90024,prior,Completed,0.0013498980316300946,0.0010999999999999992,3.3149658972438903E-4,11.0,11,0,10000,20000,0.0053858
tail3,90024,ce,Fitted,0.0013498980316300946,0.0013578267761294167,2.2661560708164742E-5,2524.2554353952573,4923,1500,8500,20000,0.0058243
tail3,90024,supplied,Completed,0.0013498980316300946,0.0013247440680540343,2.627456331114159E-5,2027.016376031132,4455,0,10000,20000,0.0055305
tail3,90025,ce,Fitted,0.0013498980316300946,0.0013693742630418316,2.2888371334276684E-5,2518.9687642363097,5042,1500,8500,20000,0.005567
tail3,90025,supplied,Completed,0.0013498980316300946,0.0014010132625604415,2.729895042540959E-5,2084.9273651061253,4501,0,10000,20000,0.0058998
tail3,90025,prior,Completed,0.0013498980316300946,0.0012999999999999982,3.6033870788251376E-4,13.0,13,0,10000,20000,0.0041587
tail3,90026,supplied,Completed,0.0013498980316300946,0.0013369461223027548,2.6533805291305005E-5,2024.9175684419558,4494,0,10000,20000,0.0055705
tail3,90026,prior,Completed,0.0013498980316300946,0.001999999999999997,4.467884980571875E-4,20.0,20,0,10000,20000,0.0037975
tail3,90026,ce,Fitted,0.0013498980316300946,0.0013394329275332414,2.2520417846853768E-5,2498.1006510982925,5024,1500,8500,20000,0.0056886
tail3,90027,prior,Completed,0.0013498980316300946,0.0016999999999999986,4.119805490521122E-4,17.0,17,0,10000,20000,0.0036493
tail3,90027,ce,Fitted,0.0013498980316300946,0.0013644222612204512,2.2767244527766227E-5,2524.94011434039,5103,1500,8500,20000,0.005596
tail3,90027,supplied,Completed,0.0013498980316300946,0.0013886927526258368,2.7079839575217785E-5,2082.373415221585,4508,0,10000,20000,0.0054254
tail3,90028,ce,Fitted,0.0013498980316300946,0.0013133933451279216,2.3020488408384055E-5,2353.9170083407485,5126,1500,8500,20000,0.0059914
tail3,90028,supplied,Completed,0.0013498980316300946,0.0013195834825235641,2.6129094345104063E-5,2032.3507666582557,4476,0,10000,20000,0.0054553
tail3,90028,prior,Completed,0.0013498980316300946,0.0017999999999999982,4.2390325476096286E-4,18.0,18,0,10000,20000,0.0036213
tail3,90029,supplied,Completed,0.0013498980316300946,0.001375074353465832,2.6943301342438425E-5,2066.5890740548916,4535,0,10000,20000,0.0056664
tail3,90029,prior,Completed,0.0013498980316300946,8.999999999999998E-4,2.9987996398438946E-4,9.0,9,0,10000,20000,0.0036191
tail3,90029,ce,Fitted,0.0013498980316300946,0.001342081912453901,2.2806448898414532E-5,2460.711332998938,5159,1500,8500,20000,0.0056375
