"invocation","pair","position","variant","revision","runtimeHash","vectorPerformance","fixture","method","workers","round","seed","draws","warmUp","status","wallSeconds","constructionSeconds","samplingSeconds","diagnosticsSeconds","cpuSeconds","gcSeconds","evaluations","alignedDraws","minMeanEss","minBulkEss","minTailEss","maxRHat","maxMeanError","warningCoordinates","fingerprint","error"
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","2","0","420013","4000","500","Complete","1.0522599","2.03E-5","0.8882171","0.1640225","2.40625","0.019","3251733","4000","36.23737925347603","37.074760300245536","94.41153342442881","1.094481746270784","0.006936160462634622","32","70f5117f96cd02d2870b347963ec61f489004b4e752f979286b6bbb78357a72b",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","2","1","427932","4000","500","Complete","1.0401005","2.01E-5","0.8742461","0.1658343","2.421875","0.02","3236479","4000","31.801672449893193","32.058114379350506","84.74388663935426","1.0852433257313874","0.03363458703623934","32","9361e774d845e114d77fdb68cfdc974ca4f240b9ee801485b53bd51fdc75e4ee",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","2","2","435851","4000","500","Complete","1.0501414","2.1E-5","0.8781567","0.1719637","2.078125","0.02","3213584","4000","18.827593772089372","19.418977153927276","144.36214774069362","1.1856715933721973","0.22462708158086309","32","be8072aea54a06faab2c2090774614aa1ad4df6564d26d325be8e1037fc3c851",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","2","3","443770","4000","500","Complete","1.056046","2.21E-5","0.8849979","0.171026","2.3125","0.02","3292746","4000","8.551688513959126","8.66542172384507","23.37880092498311","1.3883316083476982","0.08359316129464744","32","3ae74ba297dfc21cabfcf0707b44b409c98d3bd3f9dfc2b6af98aa1fde2b375a",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","2","4","451689","4000","500","Complete","1.0386361","2.15E-5","0.869444","0.1691706","2.40625","0.02","3210555","4000","32.00943946980557","33.91863557210035","93.00550074538009","1.0837128123690845","0.1407722816405288","32","6de2fd21c7960b9d9708ca419e8aba6e1a90d027a2db52b77e66a4a749ca160e",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","-2","404175","4000","500","Complete","0.9418835","2.11E-5","0.8486021","0.0932603","3.78125","0.02","3282856","4000","23.797668269094697","23.991783455481954","49.25430937145106","1.1516283632440742","0.3728865535403717","32","a76e28f6e88c6be3891bdc833beb8d8d0a1740b95f0935a4806e8ab65d3c899c",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","-1","412094","4000","500","Complete","0.922671","2.72E-5","0.8250987","0.0975451","4.0625","0.022","3230583","4000","31.726513907349148","31.532168002260388","97.16989966673968","1.0798839490509835","0.08306741567350584","32","f9ed8df14134bddcfbb2d40aa6e479cfbaad40e1882750767724d2bc52df3b34",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","0","420013","4000","500","Complete","0.9360962","2.21E-5","0.8378846","0.0981895","4.234375","0.022","3251733","4000","36.23737925347603","37.074760300245536","94.41153342442881","1.094481746270784","0.006936160462634622","32","70f5117f96cd02d2870b347963ec61f489004b4e752f979286b6bbb78357a72b",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","1","427932","4000","500","Complete","0.9130369","2.0E-5","0.8187594","0.0942575","3.640625","0.019","3236479","4000","31.801672449893193","32.058114379350506","84.74388663935426","1.0852433257313874","0.03363458703623934","32","9361e774d845e114d77fdb68cfdc974ca4f240b9ee801485b53bd51fdc75e4ee",""
"0","0","0","baseline","a144eb1a4a89d4ac0912b187b851d7845716c7d8","f56ea4902f385955a8d2438bb306087ba3274848dddfdc36602d269392ab08c1","vectorPerformance","correlated32","Quantile","4","2","435851","4000","500","Complete","0.9072293","1.95E-5","0.8117117","0.0954981","3.53125","0.019","3213584","4000","18.827593772089372","19.418977153927276","144.36214774069362","1.1856715933721973","0.22462708158086309","32","be8072aea54a06faab2c2090774614aa1ad4df6564d26d325be8e1037fc3c851",""
