fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,4,6,1,6,gvm-em,Converged,800,3000,-1.3730403619563059,0.019226877626862038,0.043,0.04533333333333334,5.2705,0.7209,0.5091,216
gvm-curved,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8806264623151794,0.030532130150447225,0.11766666666666667,0.04533333333333334,1.3145,0.7605,0.5052,0
gvm-curved,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8650205327758194,0.029434333993545687,0.11766666666666667,0.04533333333333334,1.122,1.2566,0.4967,0
gvm-curved,4,13,2,13,gvm-em,Converged,800,3000,-1.3808378059083646,0.019757248149426844,0.039,0.04533333333333334,229.9046,0.9964,0.6509,12414
gvm-curved,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4985532793339496,0.034793675212560535,0.069,0.04533333333333334,21.6443,1.3922,0.635,0
gvm-curved,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4520705407589207,0.03169947429068578,0.069,0.04533333333333334,20.7615,2.3543,0.6025,0
gvm-curved,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.3975289877982568,0.021063825754159608,0.029666666666666668,0.04533333333333334,476.5588,1.5031,0.5977,27048
gvm-curved,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7653894516115847,0.030482828400610715,0.025333333333333333,0.04533333333333334,32.4758,2.096,0.5606,0
gvm-curved,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.7416087177710684,0.028703088258324246,0.024666666666666667,0.04533333333333334,31.0481,3.9854,0.6101,0
gvm-seam,0,6,1,6,gvm-em,Converged,800,3000,-1.4721004160156408,0.018698023541195766,0.023,0.031,5.4383,0.7597,0.5189,234
gvm-seam,0,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9181141698887114,0.04309194034528754,0.0023333333333333335,0.031,1.1825,0.7758,0.5339,0
gvm-seam,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8713853779602176,0.028321199778621003,0.0023333333333333335,0.031,1.0787,1.0213,0.5048,0
gvm-seam,0,13,2,13,gvm-em,IterationLimit,800,3000,-1.4814494315949787,0.019090420713109593,0.029666666666666668,0.031,257.1765,1.014,0.615,13947
gvm-seam,0,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,1.0028,,,0
gvm-seam,0,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,0.8641,,,0
gvm-seam,0,27,4,27,gvm-em,IterationLimit,800,3000,-1.4819079189774602,0.019101855930802294,0.028,0.031,481.3456,1.5025,0.5854,27303
gvm-seam,0,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.031,1.7583,,,0
gvm-seam,0,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.031,1.4556,,,0
gvm-seam,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8986331434272803,0.027690599425542924,0.011333333333333334,0.035,1.0624,1.0377,0.5435,0
gvm-seam,1,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9748000530174694,0.05074820431776045,0.011333333333333334,0.035,1.0593,0.7515,0.4957,0
gvm-seam,1,6,1,6,gvm-em,Converged,800,3000,-1.5095009570971554,0.01821891936898159,0.04733333333333333,0.035,5.3934,0.7412,0.5124,228
gvm-seam,1,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.035,0.7473,,,0
gvm-seam,1,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.035,0.6765,,,0
gvm-seam,1,13,2,13,gvm-em,IterationLimit,800,3000,-1.5118921140787955,0.018495136157214855,0.04033333333333333,0.035,250.8589,1.1,0.6551,13799
gvm-seam,1,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.035,1.6375,,,0
gvm-seam,1,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.035,1.4946,,,0
gvm-seam,1,27,4,27,gvm-em,IterationLimit,800,3000,-1.5276985698675107,0.019096468721402696,0.041,0.035,472.2477,1.5208,0.5936,27166
gvm-seam,2,6,1,6,gvm-em,Converged,800,3000,-1.5241359767747533,0.018784823272003436,0.03833333333333333,0.036333333333333336,5.2519,0.7041,0.5079,228
gvm-seam,2,6,1,5,gmm-chart-em,Fitted,800,3000,-1.985255077410854,0.03468140451087405,0.008333333333333333,0.036333333333333336,1.2063,0.7415,0.5078,0
gvm-seam,2,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.9532968759899076,0.024755280357400582,0.008333333333333333,0.036333333333333336,1.0378,1.0359,0.4982,0
gvm-seam,2,13,2,13,gvm-em,IterationLimit,800,3000,-1.532217663966779,0.019625501577980545,0.04,0.036333333333333336,251.153,1.1447,0.5855,13914
gvm-seam,2,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,0.9073,,,0
gvm-seam,2,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,0.7489,,,0
gvm-seam,2,27,4,27,gvm-em,IterationLimit,800,3000,-1.5442384595523038,0.019229609974656992,0.044333333333333336,0.036333333333333336,481.0514,1.5774,0.6126,27182
gvm-seam,2,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,1.74,,,0
gvm-seam,2,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.036333333333333336,1.5166,,,0
gvm-seam,3,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8649610524476927,0.0248748945830113,0.010666666666666666,0.032,1.201,1.0732,0.6441,0
gvm-seam,3,6,1,5,gmm-chart-em,Fitted,800,3000,-1.905966611255857,0.03985375663337965,0.010666666666666666,0.032,1.0911,0.7738,0.5191,0
gvm-seam,3,6,1,6,gvm-em,Converged,800,3000,-1.486436239214654,0.017873324657299013,0.03933333333333333,0.032,5.3206,0.7443,0.5363,228
gvm-seam,3,13,2,11,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.032,0.7316,,,0
gvm-seam,3,13,2,11,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.032,0.6922,,,0
gvm-seam,3,13,2,13,gvm-em,IterationLimit,800,3000,-1.4953538350747106,0.01864016834383781,0.03933333333333333,0.032,246.6533,1.1256,0.5663,13827
gvm-seam,3,27,4,23,gmm-wrapped-em,refused-InsufficientComponent,800,3000,,,,0.032,1.7272,,,0
gvm-seam,3,27,4,23,gmm-chart-em,refused-InsufficientComponent,800,3000,,,,0.032,1.5625,,,0
gvm-seam,3,27,4,27,gvm-em,IterationLimit,800,3000,-1.4975200955027206,0.018792690485562615,0.035333333333333335,0.032,470.1576,1.5037,1.4989,27273
gvm-seam,4,6,1,6,gvm-em,Converged,800,3000,-1.5216513008743453,0.018984773407392314,0.034666666666666665,0.04066666666666666,5.2453,0.7739,0.5465,228
gvm-seam,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.0018086929812338,0.0597943164902273,0.005666666666666667,0.04066666666666666,1.2278,0.7658,0.5469,0
gvm-seam,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.9287948187552169,0.03645228604323636,0.005666666666666667,0.04066666666666666,1.0013,1.0413,0.5272,0
gvm-seam,4,13,2,13,gvm-em,IterationLimit,800,3000,-1.527265210554056,0.019328353515637706,0.03233333333333333,0.04066666666666666,243.9133,1.1213,0.5946,13669
gvm-seam,4,13,2,11,gmm-chart-em,Fitted,800,3000,-1.7195372393250852,0.052014219951417424,0.015,0.04066666666666666,29.8765,1.3565,0.6277,0
gvm-seam,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-1.6497874547320666,0.027406101631255515,0.015,0.04066666666666666,28.2337,2.0173,0.5979,0
gvm-seam,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.553588067058794,0.02137097600382607,0.021666666666666667,0.04066666666666666,470.7667,1.5662,0.5985,27124
gvm-seam,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.734545095396123,0.08075629687353045,0.020666666666666667,0.04066666666666666,90.9394,2.1155,0.5931,0
gvm-seam,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.5976885570365824,0.028517366451217236,0.020666666666666667,0.04066666666666666,87.2915,3.5179,0.5579,0
gvm-separated,0,6,1,6,gvm-em,Converged,800,3000,-2.646187985491579,0.014683639816888644,0.24333333333333335,0.38266666666666665,4.9601,0.6479,0.504,216
gvm-separated,0,6,1,5,gmm-chart-em,Fitted,800,3000,-2.6422267693743327,0.014684851802009456,0.25566666666666665,0.38266666666666665,1.0718,0.7242,0.6177,0
gvm-separated,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6462933219343907,0.014684851802009487,0.25533333333333336,0.38266666666666665,0.9947,1.0322,0.4885,0
gvm-separated,0,13,2,13,gvm-em,Converged,800,3000,-2.3660976420038415,0.018073587567813,0.36933333333333335,0.38266666666666665,48.1421,1.1014,0.5653,2662
gvm-separated,0,13,2,11,gmm-chart-em,Fitted,800,3000,-2.3666129637331097,0.01812612623607064,0.38433333333333336,0.38266666666666665,4.799,1.2859,0.5269,0
gvm-separated,0,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3666132826242396,0.018126126236070638,0.38433333333333336,0.38266666666666665,5.0266,1.9841,0.5307,0
gvm-separated,0,27,4,27,gvm-em,IterationLimit,800,3000,-2.3778983432687,0.018566371664304117,0.4066666666666667,0.38266666666666665,463.2536,1.4817,0.5882,26657
gvm-separated,0,27,4,23,gmm-chart-em,Fitted,800,3000,-2.3843288494841097,0.018715561878634657,0.3903333333333333,0.38266666666666665,169.1539,2.1767,0.5671,0
gvm-separated,0,27,4,23,gmm-wrapped-em,Fitted,800,3000,-2.3843290449878096,0.01871556187863465,0.3903333333333333,0.38266666666666665,167.037,3.6593,0.5589,0
gvm-separated,1,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.6409283946752122,0.01448993570454581,0.257,0.38166666666666665,1.0493,1.0256,0.5066,0
gvm-separated,1,6,1,5,gmm-chart-em,Fitted,800,3000,-2.635561014497811,0.01448993570454584,0.25933333333333336,0.38166666666666665,1.0094,0.7328,0.49,0
gvm-separated,1,6,1,6,gvm-em,Converged,800,3000,-2.6412810457804636,0.014518697686204366,0.23933333333333334,0.38166666666666665,5.1896,0.7257,0.513,216
gvm-separated,1,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.3981259225589233,0.017317840500488863,0.36533333333333334,0.38166666666666665,7.4418,2.0395,0.5586,0
gvm-separated,1,13,2,11,gmm-chart-em,Fitted,800,3000,-2.398124773675086,0.017317840500488867,0.36533333333333334,0.38166666666666665,7.4156,1.293,0.5363,0
gvm-separated,1,13,2,13,gvm-em,Converged,800,3000,-2.399570110632256,0.017349720782659152,0.35533333333333333,0.38166666666666665,44.9822,1.1246,0.6171,2436
