model,method,seed,draws,estimate,truth,ess,seconds
0,0,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0367929
0,1,98000,6000,0.4977078593064996,0.5,4368.462758290012,0.0040283
0,2,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0110471
0,3,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0098308
0,1,98001,6000,0.4895293679340005,0.5,4358.887417585001,0.0038118
0,2,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.0103348
0,3,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.0112154
0,0,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.0269935
0,2,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.009492
0,3,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.0126289
0,0,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.0262553
0,1,98002,6000,0.48852751029114294,0.5,4388.55268607928,0.0032357
0,3,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.0144848
0,0,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.0266347
0,1,98003,6000,0.5088719886937314,0.5,4453.679506166119,0.0025764
0,2,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.005879
0,0,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.0173645
0,1,98004,6000,0.500113616825821,0.5,4400.387897267845,0.0023651
0,2,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.0056464
0,3,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.0088329
0,1,98005,6000,0.4993200147359162,0.5,4407.752655465445,0.0024375
0,2,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0067705
0,3,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0081856
0,0,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0162698
0,2,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.0049842
0,3,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.0042996
0,0,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.0156069
0,1,98006,6000,0.5074781743823111,0.5,4371.908944546713,0.001784
0,3,98007,6000,0.5056232274857129,0.5,5947.55075448817,0.0044256
0,0,98007,6000,0.5056232274857129,0.5,5947.55075448817,0.0156461
0,1,98007,6000,0.5062880476613584,0.5,4400.755396936349,0.0018079
0,2,98007,6000,0.5056232274857129,0.5,5947.55075448817,0.0045411
0,0,98008,6000,0.5079223782069463,0.5,5934.833639426725,0.0159349
0,1,98008,6000,0.5092942041613173,0.5,4421.694645112122,0.0017635
0,2,98008,6000,0.5079223782069463,0.5,5934.833639426725,0.0044494
0,3,98008,6000,0.5079223782069463,0.5,5934.833639426725,0.0073707
0,1,98009,6000,0.5013985821509019,0.5,4397.936249626807,0.0017677
0,2,98009,6000,0.4973782771833381,0.5,5936.074855068387,0.0043741
0,3,98009,6000,0.4973782771833381,0.5,5936.074855068387,0.0040958
0,0,98009,6000,0.4973782771833381,0.5,5936.074855068387,0.0165177
0,2,98010,6000,0.5026248558124025,0.5,5939.1751997985475,0.0050611
0,3,98010,6000,0.5026248558124025,0.5,5939.1751997985475,0.0040654
0,0,98010,6000,0.5026248558124025,0.5,5939.1751997985475,0.0161646
0,1,98010,6000,0.5072219042358119,0.5,4388.503233681261,0.0018606
0,3,98011,6000,0.506867623851006,0.5,5950.46087154919,0.0040657
0,0,98011,6000,0.506867623851006,0.5,5950.46087154919,0.0151985
0,1,98011,6000,0.5203383168965937,0.5,4404.518280599256,0.0016478
0,2,98011,6000,0.506867623851006,0.5,5950.46087154919,0.0043625
0,0,98012,6000,0.5042643146178605,0.5,5936.892282519638,0.0145732
0,1,98012,6000,0.49473603305192493,0.5,4425.030599466281,0.0017129
0,2,98012,6000,0.5042643146178605,0.5,5936.892282519638,0.0042669
0,3,98012,6000,0.5042643146178605,0.5,5936.892282519638,0.0038847
0,1,98013,6000,0.49440154968979044,0.5,4347.885474144408,0.0016093
0,2,98013,6000,0.48685498763618523,0.5,5929.650269656346,0.0043837
0,3,98013,6000,0.48685498763618523,0.5,5929.650269656346,0.0045033
0,0,98013,6000,0.48685498763618523,0.5,5929.650269656346,0.0149132
0,2,98014,6000,0.4942833006618619,0.5,5936.681097555777,0.007143
0,3,98014,6000,0.4942833006618619,0.5,5936.681097555777,0.0038179
0,0,98014,6000,0.4942833006618619,0.5,5936.681097555777,0.0151769
0,1,98014,6000,0.4934911343730275,0.5,4382.524329070913,0.0016321
0,3,98015,6000,0.5059600537442013,0.5,5945.991584598217,0.0037905
0,0,98015,6000,0.5059600537442013,0.5,5945.991584598217,0.0143832
0,1,98015,6000,0.5008502192235726,0.5,4384.962126079536,0.0016119
0,2,98015,6000,0.5059600537442013,0.5,5945.991584598217,0.0044719
0,0,98016,6000,0.49937908456683267,0.5,5943.013131325753,0.0147853
0,1,98016,6000,0.5037924722277944,0.5,4393.043936351027,0.0017782
0,2,98016,6000,0.49937908456683267,0.5,5943.013131325753,0.004544
0,3,98016,6000,0.49937908456683267,0.5,5943.013131325753,0.0036505
0,1,98017,6000,0.499080316002467,0.5,4367.8180913623855,0.0017361
0,2,98017,6000,0.5018321411514948,0.5,5941.428598137473,0.004575
0,3,98017,6000,0.5018321411514948,0.5,5941.428598137473,0.0039188
0,0,98017,6000,0.5018321411514948,0.5,5941.428598137473,0.0158205
0,2,98018,6000,0.4916832541616337,0.5,5937.352619871096,0.0043336
0,3,98018,6000,0.4916832541616337,0.5,5937.352619871096,0.0042426
0,0,98018,6000,0.4916832541616337,0.5,5937.352619871096,0.0147727
0,1,98018,6000,0.49714650609424454,0.5,4396.527983284993,0.0016508
0,3,98019,6000,0.4979764828381276,0.5,5939.624876953443,0.0077851
0,0,98019,6000,0.4979764828381276,0.5,5939.624876953443,0.0147086
