fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
curved,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5104809246691644,-2.838566499063276,0.1165,0.03925,0.7558,1.87,1.4109
curved,103002,1,gvm-regression,6,completed,1200,4000,4000,0.5104809246691644,-1.3393735916182439,0.03625,0.03925,0.9471,2.1455,1.2046
curved,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5104809246691644,-2.7197270506616786,0.117,0.03925,1.057,3.0673,1.927
curved,103002,2,gvm-regression,13,completed,1200,4000,4000,0.5104809246691644,-1.3768504227017566,0.029,0.03925,1.2341,3.0197,1.2972
curved,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5104809246691644,-2.2398608141686744,0.099,0.03925,1.4298,4.8676,1.6108
curved,103002,4,gvm-regression,27,completed,1200,4000,4000,0.5104809246691644,-1.4113243791247132,0.0235,0.03925,0.6886,4.0269,2.4287
curved,103003,1,gvm-regression,6,completed,1200,4000,4000,0.5502044122491806,-1.5361311598364848,0.04075,0.03675,0.9931,1.9104,1.0421
curved,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5502044122491806,-2.853398161164953,0.12475,0.03675,0.9499,1.0086,0.881
curved,103003,2,gvm-regression,13,completed,1200,4000,4000,0.5502044122491806,-1.6549961071775494,0.03475,0.03675,0.5812,2.4784,1.1559
curved,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5502044122491806,-2.744923450702243,0.1305,0.03675,0.7493,1.7235,1.1108
curved,103003,4,gvm-regression,27,completed,1200,4000,4000,0.5502044122491806,-1.6413627180284631,0.039,0.03675,0.5846,3.1188,0.9767
curved,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5502044122491806,-2.1941917479119675,0.10875,0.03675,0.6117,3.4241,0.9877
curved,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.4838928605992185,-2.813913592593539,0.12225,0.03875,1.263,0.9889,0.9987
