fixture,seed,components,method,parameters,status,train,heldout,draws,chartCenter,meanLogScore,regionProbability,referenceRegion,fitMillis,scoreMillis,drawMillis
curved,103001,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5308360862503138,-2.8251647927037,0.119,0.0415,1.4773,2.2317,1.6804
curved,103001,2,gvm-regression,13,completed,1200,4000,4000,0.5308360862503138,-1.3861762513896232,0.0395,0.0415,0.8709,3.1763,1.3357
curved,103001,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5308360862503138,-2.735038464746041,0.126,0.0415,1.0694,3.3702,1.6915
curved,103001,4,gvm-regression,27,completed,1200,4000,4000,0.5308360862503138,-1.410606637719696,0.026,0.0415,0.8338,4.2209,1.5268
curved,103001,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5308360862503138,-2.1965817404305943,0.10875,0.0415,1.1896,5.9294,1.4661
curved,103002,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5104809246691644,-2.838566499063276,0.1165,0.03925,0.7257,1.8133,1.6814
curved,103002,1,gvm-regression,6,completed,1200,4000,4000,0.5104809246691644,-1.3393735916182439,0.03625,0.03925,1.0082,2.1902,1.2624
curved,103002,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5104809246691644,-2.7197270506616786,0.117,0.03925,0.9843,4.1787,1.8326
curved,103002,2,gvm-regression,13,completed,1200,4000,4000,0.5104809246691644,-1.3768504227017566,0.029,0.03925,0.8659,3.3637,1.6244
curved,103002,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5104809246691644,-2.2398608141686744,0.099,0.03925,1.2323,7.0867,1.8954
curved,103002,4,gvm-regression,27,completed,1200,4000,4000,0.5104809246691644,-1.4113243791247132,0.0235,0.03925,0.7631,6.7417,1.018
curved,103003,1,gvm-regression,6,completed,1200,4000,4000,0.5502044122491806,-1.5361311598364848,0.04075,0.03675,0.9782,1.8825,0.7803
curved,103003,1,gmm-chart-moments,5,completed,1200,4000,4000,0.5502044122491806,-2.853398161164953,0.12475,0.03675,0.7554,1.2612,0.9395
curved,103003,2,gvm-regression,13,completed,1200,4000,4000,0.5502044122491806,-1.6549961071775494,0.03475,0.03675,1.0399,2.0734,0.8472
curved,103003,2,gmm-chart-moments,11,completed,1200,4000,4000,0.5502044122491806,-2.744923450702243,0.1305,0.03675,0.632,2.2187,1.3532
curved,103003,4,gvm-regression,27,completed,1200,4000,4000,0.5502044122491806,-1.6413627180284631,0.039,0.03675,0.7287,2.62,1.5359
curved,103003,4,gmm-chart-moments,23,completed,1200,4000,4000,0.5502044122491806,-2.1941917479119675,0.10875,0.03675,0.9102,4.2273,1.0671
curved,103004,1,gmm-chart-moments,5,completed,1200,4000,4000,0.4838928605992185,-2.813913592593539,0.12225,0.03875,0.6776,1.1212,1.0981
curved,103004,1,gvm-regression,6,completed,1200,4000,4000,0.4838928605992185,-1.4890508005050684,0.043,0.03875,0.8975,1.5107,0.8325
curved,103004,2,gmm-chart-moments,11,completed,1200,4000,4000,0.4838928605992185,-2.7412221231114495,0.134,0.03875,0.7063,2.044,1.0323
curved,103004,2,gvm-regression,13,completed,1200,4000,4000,0.4838928605992185,-1.632898105319891,0.02075,0.03875,0.869,2.0326,0.9028
curved,103004,4,gmm-chart-moments,23,completed,1200,4000,4000,0.4838928605992185,-2.1754338096853636,0.10225,0.03875,0.5694,3.457,1.0806
curved,103004,4,gvm-regression,27,completed,1200,4000,4000,0.4838928605992185,-1.5794626816519786,0.035,0.03875,0.8511,2.4424,0.9072
seam,103000,1,gmm-chart-moments,5,completed,1200,4000,4000,-3.0415761626592572,-1.9644171390539187,0.0065,0.03475,1.0229,1.5347,0.658
seam,103000,1,gvm-regression,6,completed,1200,4000,4000,-3.0415761626592572,-1.4988718888592973,0.033,0.03475,0.7024,1.2929,0.6875
seam,103000,2,gmm-chart-moments,11,completed,1200,4000,4000,-3.0415761626592572,-1.7097838048757326,0.016,0.03475,0.6205,1.7443,0.5938
seam,103000,2,gvm-regression,13,completed,1200,4000,4000,-3.0415761626592572,-1.5427350949531904,0.0165,0.03475,0.5653,1.3633,0.6678
