GVM_AUDIT_TIMING case=opposed method=full round=3 batch=128 nsPerCall=222936.71875
GVM_AUDIT_TIMING case=opposed method=full round=4 batch=128 nsPerCall=229621.09375
GVM_AUDIT_TIMING case=opposed method=audited round=4 batch=512 nsPerCall=76490.8203125
GVM_AUDIT_TIMING case=opposed method=audited round=5 batch=512 nsPerCall=74475.0
GVM_AUDIT_TIMING case=opposed method=full round=5 batch=128 nsPerCall=231266.40625
GVM_AUDIT_TIMING case=opposed method=full round=6 batch=128 nsPerCall=218864.0625
GVM_AUDIT_TIMING case=opposed method=audited round=6 batch=512 nsPerCall=74146.09375
GVM_AUDIT_CHECK case=curved identical=true evaluations=25098 error=7.69628805130651E-11
GVM_AUDIT_TIMING case=curved method=full round=0 batch=1 nsPerCall=2.52212E7
GVM_AUDIT_TIMING case=curved method=audited round=0 batch=8 nsPerCall=3215862.5
GVM_AUDIT_TIMING case=curved method=audited round=1 batch=8 nsPerCall=3199075.0
GVM_AUDIT_TIMING case=curved method=full round=1 batch=1 nsPerCall=2.56425E7
GVM_AUDIT_TIMING case=curved method=full round=2 batch=1 nsPerCall=2.99685E7
GVM_AUDIT_TIMING case=curved method=audited round=2 batch=8 nsPerCall=3680037.5
GVM_AUDIT_TIMING case=curved method=audited round=3 batch=8 nsPerCall=3174537.5
GVM_AUDIT_TIMING case=curved method=full round=3 batch=1 nsPerCall=2.48607E7
GVM_AUDIT_TIMING case=curved method=full round=4 batch=1 nsPerCall=2.46742E7
GVM_AUDIT_TIMING case=curved method=audited round=4 batch=8 nsPerCall=3157012.5
GVM_AUDIT_TIMING case=curved method=audited round=5 batch=8 nsPerCall=3509575.0
GVM_AUDIT_TIMING case=curved method=full round=5 batch=1 nsPerCall=2.48166E7
GVM_AUDIT_TIMING case=curved method=full round=6 batch=1 nsPerCall=2.43155E7
GVM_AUDIT_TIMING case=curved method=audited round=6 batch=8 nsPerCall=3152625.0
GVM_AUDIT_COMPLETE cases=3 methods=6 rounds=7 sinkFinite=true
GVM_AUDIT_ENV pid=26088 java=17.0.4 rounds=7 tolerance=1e-8
GVM_AUDIT_CHECK case=ordinary identical=true evaluations=712 error=3.852829166817173E-11
