fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,4,6,1,6,gvm-em,Converged,800,3000,-1.3730403619563059,0.019226877626862038,0.043,0.04533333333333334,5.4152,0.6926,0.4825,216
gvm-curved,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8806264623151794,0.030532130150447225,0.11766666666666667,0.04533333333333334,1.0614,0.759,0.5134,0
gvm-curved,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8650205327758194,0.029434333993545687,0.11766666666666667,0.04533333333333334,0.9719,1.2552,0.5129,0
gvm-curved,4,13,2,13,gvm-em,Converged,800,3000,-1.3808378059083646,0.019757248149426844,0.039,0.04533333333333334,226.191,0.9464,0.5493,12414
gvm-curved,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4985532793339496,0.034793675212560535,0.069,0.04533333333333334,17.6221,1.2558,0.6045,0
gvm-curved,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4520705407589207,0.03169947429068578,0.069,0.04533333333333334,18.659,2.3689,0.6274,0
gvm-curved,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.3975289877982568,0.021063825754159608,0.029666666666666668,0.04533333333333334,468.4174,1.5458,0.5719,27048
gvm-curved,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7653894516115847,0.030482828400610715,0.025333333333333333,0.04533333333333334,27.421,2.1564,0.5742,0
gvm-curved,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.7416087177710684,0.028703088258324246,0.024666666666666667,0.04533333333333334,26.2289,3.9024,0.5681,0
gvm-seam,0,6,1,6,gvm-em,Converged,800,3000,-1.4721004160156408,0.018698023541195766,0.023,0.031,5.4316,0.6505,0.491,234
gvm-seam,0,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9181141698887114,0.04309194034528754,0.0023333333333333335,0.031,0.9909,0.778,0.4933,0
gvm-seam,0,6,1,5,gmm-wrapped-em,Fitted,800,3000,-1.8713853779602176,0.028321199778621003,0.0023333333333333335,0.031,0.896,1.02,0.4939,0
