fixture,seed,parameterBudget,components,parameters,method,status,train,heldout,meanLogScore,scoreMCSE,regionProbability,referenceRegion,fitMillis,scoreMillis,sampleMillis,angularEvaluations
gvm-curved,4,6,1,6,gvm-em,Converged,800,3000,-1.3730403619563059,0.019226877626862038,0.043,0.04533333333333334,5.2265,0.8529,0.4745,216
gvm-curved,4,6,1,5,gmm-chart-em,Fitted,800,3000,-2.8806264623151794,0.030532130150447225,0.11766666666666667,0.04533333333333334,1.3018,0.7578,0.4993,0
gvm-curved,4,6,1,5,gmm-wrapped-em,Fitted,800,3000,-2.8650205327758194,0.029434333993545687,0.11766666666666667,0.04533333333333334,1.0615,1.2555,0.4942,0
gvm-curved,4,13,2,13,gvm-em,Converged,800,3000,-1.3808378059083646,0.019757248149426844,0.039,0.04533333333333334,227.0446,0.9788,0.5783,12414
gvm-curved,4,13,2,11,gmm-chart-em,Fitted,800,3000,-2.4985532793339496,0.034793675212560535,0.069,0.04533333333333334,20.8521,1.3167,0.5699,0
gvm-curved,4,13,2,11,gmm-wrapped-em,Fitted,800,3000,-2.4520705407589207,0.03169947429068578,0.069,0.04533333333333334,20.9358,2.364,0.6035,0
gvm-curved,4,27,4,27,gvm-em,IterationLimit,800,3000,-1.3975289877982568,0.021063825754159608,0.029666666666666668,0.04533333333333334,469.0043,1.4574,0.5562,27048
gvm-curved,4,27,4,23,gmm-chart-em,Fitted,800,3000,-1.7653894516115847,0.030482828400610715,0.025333333333333333,0.04533333333333334,33.9045,2.114,0.5353,0
gvm-curved,4,27,4,23,gmm-wrapped-em,Fitted,800,3000,-1.7416087177710684,0.028703088258324246,0.024666666666666667,0.04533333333333334,32.8508,3.9806,0.5368,0
gvm-seam,0,6,1,6,gvm-em,Converged,800,3000,-1.4721004160156408,0.018698023541195766,0.023,0.031,5.336,0.7486,0.4995,234
gvm-seam,0,6,1,5,gmm-chart-em,Fitted,800,3000,-1.9181141698887114,0.04309194034528754,0.0023333333333333335,0.031,1.211,0.7865,0.5041,0
