model,method,seed,draws,estimate,truth,ess,seconds
0,0,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0344633
0,1,98000,6000,0.4977078593064996,0.5,4368.462758290012,0.0044253
0,2,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0118555
0,3,98000,6000,0.5017144580291087,0.5,5937.708732606206,0.0187627
0,1,98001,6000,0.4895293679340005,0.5,4358.887417585001,0.0040978
0,2,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.010581
0,3,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.0080667
0,0,98001,6000,0.4840875294443766,0.5,5936.6748586709,0.0265133
0,2,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.008523
0,3,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.0095896
0,0,98002,6000,0.4903541093453615,0.5,5938.659649017089,0.0250958
0,1,98002,6000,0.48852751029114294,0.5,4388.55268607928,0.0028547
0,3,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.0087667
0,0,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.0224592
0,1,98003,6000,0.5088719886937314,0.5,4453.679506166119,0.0030162
0,2,98003,6000,0.5265642396571589,0.5,5937.001616830594,0.0056713
0,0,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.0166366
0,1,98004,6000,0.500113616825821,0.5,4400.387897267845,0.0032828
0,2,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.0062002
0,3,98004,6000,0.5059546337176868,0.5,5942.86177240737,0.00468
0,1,98005,6000,0.4993200147359162,0.5,4407.752655465445,0.0076027
0,2,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0086244
0,3,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0043079
0,0,98005,6000,0.4943429184226009,0.5,5942.87721339654,0.0152898
0,2,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.0049211
0,3,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.0036767
0,0,98006,6000,0.5080690495947227,0.5,5931.282727731748,0.015083
0,1,98006,6000,0.5074781743823111,0.5,4371.908944546713,0.0017017
