"highDimensional","dimension","target","sampler","round","seed","record","budgetPerChain","drawsPerChain","availableDraws","evaluations","warmupEvaluations","status","reason","query","truth","estimate","fullWidth","meanEss","covered","criteriaMet","failureReasons"
"highDimensional","8","asymmetric","gpss","0","1700113","stopped","300000","23346","93592","1200000","10125","Ok","MaxEvaluationsReached","firstSquared","4.75","4.598799182681699","0.7636419236419748","291.7706080377103","true","false","InvalidRHat|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","stopped","300000","23346","93592","1200000","10125","Ok","MaxEvaluationsReached","last","-1.5","-1.6322521957948428","0.7667270134893032","93.53675392270597","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","0","1700113","stopped","300000","23346","93592","1200000","10125","Ok","MaxEvaluationsReached","meanSquare","4.75","4.625624834913348","0.7609649284126799","109.2627906398248","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","cross","4.5","4.645331347130573","1.6594345453805461","57.112820136693564","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","event","0.10002850401899104","0.13233993632826319","NaN","33.012174846265786","false","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|UnavailableMcse"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","first","-1.5","-1.3175208713377127","1.5697643459058397","35.90186423703976","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","firstSquared","4.75","4.913265252365856","1.622668407457757","87.35473608059962","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","last","-1.5","-1.3221318060501361","1.5600347296118053","36.13710366312469","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","75000","5654","22785","300000","10197","Ok","FixedBudget","meanSquare","4.75","4.905567776712718","1.576749857287036","38.69262732194086","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","cross","4.5","4.40737518808519","0.9947078042661872","125.06266528812507","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","event","0.10002850401899104","0.08702887275242047","0.18900886698881353","61.92410086745464","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","first","-1.5","-1.5494196991351807","0.9451986363999602","70.13511597442509","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","firstSquared","4.75","4.651196272171902","0.9847104244971091","194.0393475660607","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","last","-1.5","-1.550262432650456","0.9610361206431078","68.13806135011023","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","150000","11568","46446","600000","10197","Ok","FixedBudget","meanSquare","4.75","4.682046977162138","0.94925646196111","78.57862787080902","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","cross","4.5","4.680807087239878","1.05084495282991","138.22967598549454","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","event","0.10002850401899104","0.1382213608957795","0.21055733657502537","74.80473492505463","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","first","-1.5","-1.3039707411978654","1.0525708951385115","81.28237946673613","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","firstSquared","4.75","4.93478764893698","1.0370833197239833","204.85259130195806","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","last","-1.5","-1.3026256016722528","1.050092678868848","81.54294803079809","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","fixed","300000","23220","93341","1200000","10197","Ok","FixedBudget","meanSquare","4.75","4.941132384487008","1.0537005220058522","89.52721634158962","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","cross","4.5","4.680807087239878","1.05084495282991","138.22967598549454","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","event","0.10002850401899104","0.1382213608957795","0.21055733657502537","74.80473492505463","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","first","-1.5","-1.3039707411978654","1.0525708951385115","81.28237946673613","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","firstSquared","4.75","4.93478764893698","1.0370833197239833","204.85259130195806","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","last","-1.5","-1.3026256016722528","1.050092678868848","81.54294803079809","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","1","1830476","stopped","300000","23220","93341","1200000","10197","Ok","MaxEvaluationsReached","meanSquare","4.75","4.941132384487008","1.0537005220058522","89.52721634158962","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","cross","4.5","5.035845295404325","2.1292312450278956","41.643759693759556","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","event","0.10002850401899104","0.1895477207977208","0.4115425221530845","25.254001262777717","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","first","-1.5","-1.062727307483522","2.0989355136916976","26.369511525847482","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","firstSquared","4.75","5.301796313346955","2.0072587609749","61.99510396570091","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","last","-1.5","-1.0393435041496233","2.0889773275170733","26.73793206210202","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","75000","5616","22664","300000","10110","Ok","FixedBudget","meanSquare","4.75","5.202867362941777","2.063296639969734","29.86488630803279","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","cross","4.5","4.82683595801524","1.41028415584601","82.76849298217243","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","event","0.10002850401899104","0.15249080721414812","0.270463596506324","49.189706216080126","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","first","-1.5","-1.2466785051845113","1.3589016278025778","53.15798388745418","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","firstSquared","4.75","5.079869934915564","1.3801192516265928","119.35476082775536","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","last","-1.5","-1.2359751275156545","1.3726148967951741","52.45549847488227","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
"highDimensional","8","asymmetric","gpss","2","1960839","fixed","150000","11422","46168","600000","10110","Ok","FixedBudget","meanSquare","4.75","5.014251013565016","1.3616233648641178","58.38315216897695","true","false","InvalidRHat|InsufficientBulkEss|InsufficientMeanEss|WidthTooLarge"
